Height,2012/10/22 01:47:38,2012/10/22 01:48:38,2012/10/22 01:49:38,2012/10/22 01:50:38,2012/10/22 01:51:38,2012/10/22 01:52:38,2012/10/22 01:53:38,2012/10/22 01:54:38,2012/10/22 01:55:38,2012/10/22 01:56:38,2012/10/22 01:57:38,2012/10/22 01:58:38,2012/10/22 01:59:38,2012/10/22 02:00:38,2012/10/22 02:01:38,2012/10/22 02:02:38,2012/10/22 02:03:38,2012/10/22 02:04:38,2012/10/22 02:05:38,2012/10/22 02:06:38,2012/10/22 02:07:38,2012/10/22 02:08:38,2012/10/22 02:09:38,2012/10/22 02:10:38,2012/10/22 02:11:38
600.0,-57.04333321463038,-59.224603774300014,-61.46003689418319,-59.01094293277683,-56.60162481237145,-60.91068432062001,-58.00716773898254,-60.017674824545516,-56.44917867254167,-60.64221179623061,-57.217145630038054,-56.89398694430145,-64.63949289699627,-58.92050538409108,-66.67705302305926,-63.965647761897074,-66.32372367332746,-63.34795574960968,-64.55860065192472,-69.56020165197454,-61.03527287838987,-62.352969602381364,-58.33402627631027,-62.32625274964395,-63.572394117140654
700.0,-56.08465253589294,-58.81552727358052,-55.97354938167588,-60.74778244942393,-59.61420809813762,-61.72256512224818,-60.12325643528338,-60.52328278674074,-61.32832930177462,-60.78529208894967,-64.5023623027715,-63.92390979693967,-63.220997647914494,-63.32331374088639,-64.71470145921089,-64.08717986507564,-64.70923777109893,-64.39355558926738,-64.76929511513767,-63.62593663055609,-63.24511953525926,-64.57485618424649,-62.67460935171562,-63.97756611254605,-62.904910820612415
800.0,-60.47578571569997,-61.334954517385974,-57.65756223148274,-62.45929649367276,-58.88664567042759,-60.414594934885784,-62.41093811296006,-61.38720372699392,-62.64604952210879,-63.260970904025115,-63.51362972407703,-62.65323967844349,-62.428790498682694,-63.33246831064577,-63.198723786406866,-62.17651286808438,-62.828043545061504,-62.690137200353085,-63.13302792757017,-62.03752609298622,-62.02848840783538,-63.77679957372774,-62.68070227687733,-64.11429836282917,-61.80636618732559
900.0,-61.10420547960002,-62.0954101030374,-59.09337297763987,-61.26611014771107,-61.81135259778278,-62.22794897895506,-62.45437334957412,-62.23891720370163,-62.20166707905594,-62.932163821664155,-62.02831215938644,-62.69523206664148,-62.155243400220996,-63.509428474834145,-62.157204612487824,-62.92854789391414,-62.374263090258,-63.18182786756111,-62.804271965208656,-62.03767159134514,-62.475840426175836,-62.77806640495528,-62.16621522381196,-62.43244941129747,-61.545078850745625
1000.0,-61.77505069143563,-61.813219519411696,-61.253206020819974,-60.77279151772403,-60.83164432980605,-61.932569369832,-61.12546979873238,-61.20833856767322,-62.29979320986097,-61.96424633197335,-61.81503956236226,-61.215515356378646,-61.822851663960044,-61.97626218663268,-62.01289250670703,-61.620934189936406,-61.941829807300785,-61.06788869815664,-62.29778681300877,-62.030108799859775,-60.45229447148718,-61.433683562813364,-60.81387417405471,-61.87077826167579,-61.68606255016274
1250.0,-59.02855210208626,-60.10947425525913,-60.08180761801035,-59.6232581933931,-60.112078724249415,-60.3965373346202,-59.87207373379697,-60.035982370011546,-60.33057957156023,-59.05921386837254,-59.979616025756286,-59.97915354293136,-60.12080036174725,-59.81082913214143,-60.07306025783336,-60.52077210124232,-59.93101381116504,-60.05236537577246,-59.6391030800169,-59.984173854926816,-59.50932854843186,-59.51903896784572,-59.743453663668205,-59.447650020475244,-59.63839108311204
1500.0,-58.63044903781622,-58.51565843206061,-58.58991857948674,-58.73154762661673,-58.667280133445345,-58.094494505226606,-58.614962042835465,-58.72771886815725,-58.44121528973692,-58.5841932649594,-58.30290770463836,-58.16581363700088,-58.6684515700779,-58.325232376574704,-57.86873160553716,-58.63870598839002,-58.38484547943831,-58.76461873490639,-58.3501966716748,-57.837529244934395,-58.3620475966217,-58.76036094719364,-59.08896705091091,-58.47686179899702,-58.37207159660292
1750.0,-56.774163866606365,-56.66864567019929,-57.22529808140232,-57.54114427159046,-57.69372687564831,-56.596159347278,-56.51121575560899,-57.50726186974628,-57.376362676415084,-56.77763530822698,-56.724852430919526,-56.73952860742776,-57.181392296290426,-57.014304672767736,-57.14514139335005,-58.051082212500305,-56.73945455549342,-57.03252215043607,-56.97271793687988,-56.67190076545726,-56.76651420025341,-57.458384215469216,-57.3871495279217,-57.222996769678204,-56.487688224555384
2000.0,-55.6806564232849,-56.69320510598714,-56.34263140754756,-56.16531212125819,-55.84132835581592,-55.79485981705212,-56.77022612297775,-56.03584384660912,-56.03866478906659,-56.10603904127484,-55.95459573395969,-55.693115487466294,-55.917840951178036,-55.70540845935654,-56.177822568697835,-55.78946563547891,-55.253800010094025,-53.59788391613649,-53.82436890366258,-53.21135199516602,-54.329454432450994,-54.5163906861253,-55.46859927318301,-55.03166270911784,-54.53390528308842
2250.0,-53.01882488208082,-54.23616725852659,-54.13627059001041,-55.54523600191014,-55.32084948507042,-54.0841802332191,-55.170197186017546,-52.17579781428208,-49.17184192759281,-48.24263786516826,-44.45662107822856,-45.731286501667164,-44.93156310606081,-43.94648413484888,-43.7300534784962,-43.18382775670266,-43.0085223039732,-42.71950724176455,-42.37691915848989,-43.76070572020513,-42.67927276737323,-42.37496189066363,-42.17108585429484,-42.53293486855136,-42.531223967960244
