Height,2012/10/24 17:45:38,2012/10/24 17:46:38,2012/10/24 17:47:38,2012/10/24 17:48:38,2012/10/24 17:49:38,2012/10/24 17:50:38,2012/10/24 17:51:38,2012/10/24 17:52:37,2012/10/24 17:53:37,2012/10/24 17:54:38,2012/10/24 17:55:38,2012/10/24 17:56:37,2012/10/24 17:57:38,2012/10/24 17:58:37,2012/10/24 17:59:37,2012/10/24 18:00:37,2012/10/24 18:01:38,2012/10/24 18:02:38,2012/10/24 18:03:38,2012/10/24 18:04:38,2012/10/24 18:05:38,2012/10/24 18:06:38,2012/10/24 18:07:38,2012/10/24 18:08:38,2012/10/24 18:09:38,2012/10/24 18:10:37,2012/10/24 18:56:37,2012/10/24 18:57:38,2012/10/24 18:58:38,2012/10/24 18:59:38,2012/10/24 19:00:38,2012/10/24 19:01:37,2012/10/24 19:02:37,2012/10/24 19:03:38,2012/10/24 19:04:37,2012/10/24 19:05:38,2012/10/24 19:06:38,2012/10/24 19:07:38,2012/10/24 19:08:37,2012/10/24 19:09:38,2012/10/24 19:10:38,2012/10/24 19:11:38,2012/10/24 19:12:37,2012/10/24 19:13:38,2012/10/24 19:14:37,2012/10/24 19:15:37,2012/10/24 19:16:38,2012/10/24 19:17:37,2012/10/24 19:18:37,2012/10/24 19:19:37,2012/10/24 19:20:38,2012/10/24 19:21:37,2012/10/24 20:07:38,2012/10/24 20:08:38,2012/10/24 20:09:38,2012/10/24 20:10:38,2012/10/24 20:11:38,2012/10/24 20:12:38,2012/10/24 20:13:38,2012/10/24 20:14:38,2012/10/24 20:15:38,2012/10/24 20:16:38,2012/10/24 20:17:38,2012/10/24 20:18:38,2012/10/24 20:19:38,2012/10/24 20:20:38,2012/10/24 20:21:38,2012/10/24 20:22:38,2012/10/24 20:23:38,2012/10/24 20:24:38,2012/10/24 20:25:38,2012/10/24 20:26:37,2012/10/24 20:27:38,2012/10/24 20:28:38,2012/10/24 20:29:38,2012/10/24 20:30:38,2012/10/24 20:31:38
600.0,-64.2799998720272,-67.24019786471109,-66.27114229445044,-68.5429614232234,-66.23129927333784,-69.94932512806669,-67.66772648181119,-66.25105069800452,-68.4189008826536,-66.08133918003219,-64.84491589948192,-67.96239204063001,-67.62724839371317,-68.38150734326338,-65.34612870073055,-67.7343208013421,-67.51302756274256,-65.93521658463435,-65.35863207829273,-66.85767058379362,-67.71041777898436,-68.32584325585034,-68.56798889782173,-68.66806984336657,-66.66454831756172,-68.10029615416535,-69.12513146520617,-64.76486238557736,-67.10843495946233,-66.64073178782941,-68.57020348679914,-63.77105728549982,-66.50933286242598,-63.393915749725,-67.59004806448232,-64.16761995823465,-61.75118816160573,-64.58627861678097,-65.83823686373265,-63.86667486849848,-70.54548196316368,-67.90654577232851,-66.92015929988335,-66.92654725980839,-66.28152520379204,-65.60355718552627,-61.3492832469533,-64.31900206884193,-62.71031458540792,-65.14683047409325,-64.17675983053589,-61.29436945301861,-64.67520831752552,-67.55960483214362,-65.98708367767354,-63.25603279767368,-66.9925075323803,-64.98225956387827,-64.22070688486234,-61.08947473406111,-65.22822845498762,-64.54243380447274,-62.53968027846751,-62.02223997305377,-65.33229945105627,-66.09199649114332,-59.807662138348554,-66.72854128459095,-64.99569571548503,-66.11954406716676,-66.05266066575913,-65.76778978953261,-59.499531642976585,-64.89373644834238,-58.856613841900995,-66.86700131664396,-64.33971374332893
700.0,-65.17833343745306,-65.11419359407408,-65.78916959398461,-65.13359969633281,-65.50338093504463,-66.0007706966487,-65.26947971313659,-66.17933280694042,-65.41007961741293,-65.49902464366617,-65.5586274525336,-65.47605391431948,-65.37859551532515,-65.45425547631795,-65.9251698482265,-65.23833437816667,-65.89655624950204,-66.04951998505099,-65.23025261123614,-65.87225043515019,-64.64415088686638,-64.97087092687727,-65.55435394792144,-65.29212205610047,-64.78592948894077,-65.87999835670993,-66.0713083870619,-65.1448036288251,-65.46201796114467,-65.84775466114803,-65.63366978221762,-65.32049782440643,-66.2209631591285,-66.1303604794875,-65.71578499592889,-65.56900939772001,-65.60257400236827,-65.88297672376318,-66.03616333376826,-65.4751472774809,-65.31867070469572,-65.93380817795186,-65.41270876093328,-65.58629995348014,-65.52323101949445,-65.70753002864475,-64.9742324365188,-65.69892970033212,-65.26986311100951,-66.05958346500151,-65.67667239811425,-65.18246681645853,-65.60331055534526,-63.72507550432591,-65.49033788256878,-64.87896601912828,-65.47322671919031,-64.51585671572316,-64.54814536230684,-65.97605150622445,-64.12949150696322,-65.0559920885467,-65.92728532046594,-65.60756529307139,-65.1783182527112,-65.72782263905218,-65.79970104286761,-65.1284400195115,-65.86936051108914,-65.06943555394423,-64.33691787101941,-65.02667340030743,-64.78566218436939,-65.56361905778961,-63.689763837794544,-65.72236111566586,-65.2049609294117
800.0,-63.77768061637143,-63.515018042833454,-64.0451306365676,-63.80766723878544,-64.64416345787544,-64.11340647946244,-64.54362484602105,-64.18791444303572,-63.97466514964412,-64.6823102519147,-64.36698678197153,-64.46941711639631,-64.70708826972763,-64.2974475183671,-63.74716854934861,-64.24951713274599,-64.42759153711704,-63.85087805943557,-63.96978356687782,-63.66732111612493,-63.69888585140297,-64.04331651099058,-64.06352623350412,-64.43631728084208,-64.7922488891163,-64.41632180811811,-64.95415431892135,-63.79085183558233,-64.1836933448016,-64.18308268662894,-64.72099053746814,-64.2998831136729,-64.44822877601055,-64.67046681884291,-65.0538921583925,-63.90014291730194,-64.41845996792256,-63.922490769867075,-63.404839845862355,-64.02610690081691,-64.30280438677178,-63.82300480200203,-64.02732984311172,-64.32689999241337,-64.34965324989814,-64.77626419640987,-64.3766766064291,-64.38547661054176,-64.70542487357106,-64.7662322854107,-64.15474133311719,-64.09008118702603,-64.38927455778278,-63.39459270468028,-63.875003706108124,-63.53427110211972,-63.1205078007636,-63.95573505358463,-64.87104601001846,-62.95338604329204,-63.396344841455715,-64.64643317242793,-64.47668458167264,-64.12560475054279,-64.4032514854941,-64.36979369792526,-63.53497445795471,-63.541624164242386,-63.48982388119615,-64.37596386179092,-63.78266567685618,-64.56680831440052,-63.81606791922675,-63.958035823997506,-63.59013310060627,-64.52343481663202,-64.35072441960816
900.0,-62.28342876100658,-63.48972913389045,-63.35316643651172,-63.10050651923293,-63.58465752029624,-62.61563926689367,-63.1332296101389,-62.97498376664007,-62.768093384690225,-63.59241956913583,-63.33191260371235,-63.02471139577862,-63.666531389892704,-63.64339857563898,-63.42831880786345,-63.15263750826948,-63.39878035375541,-63.58857043755489,-63.15512194790605,-62.85458252832077,-63.446497241680945,-63.393845026739505,-63.32887455918253,-62.79276916627505,-63.146529124556814,-63.284640697770676,-63.73028498346927,-61.47787334909109,-63.22397849472814,-62.80285721707412,-63.71647787368969,-63.847884011997756,-62.55303370915337,-63.022933467846634,-62.99817588324657,-63.13112770722051,-63.08092175777062,-62.12939090875619,-62.9265657022181,-63.62704433324418,-63.48019297800112,-63.18264426398911,-62.990044862780145,-62.67522387296629,-63.17275241574892,-63.80114334935623,-63.99902011520847,-62.74253914040566,-63.12512834075722,-63.01485003722491,-63.75374799122151,-62.83997438309559,-61.061201716742914,-62.4264799712569,-63.454164574246,-62.911765507860466,-63.17149095845009,-63.28395487402233,-62.746565806386506,-62.981428762517666,-62.67083722522657,-63.04162678336816,-63.90683677167229,-63.153743208991756,-63.409704530403715,-63.14669134329702,-62.16486065384268,-63.46622397201266,-63.415289257255786,-63.623921792335594,-62.95502836815863,-63.26359493241305,-63.49501902604691,-63.751660500862364,-63.16587246865287,-63.86655777990249,-63.30438017617214
1000.0,-62.703528615023515,-62.37716687594219,-62.853645231818504,-62.50913974197758,-62.21597440708188,-63.025472447054426,-62.19728162161034,-62.197891311840706,-62.1225153537691,-61.83541972958826,-62.7155028611768,-62.56268654769284,-62.24483034371593,-62.316198756586395,-62.71525294433197,-62.28677456206642,-62.510035953512926,-61.990831170276856,-62.3668575743548,-62.51734376786693,-62.39520770093205,-62.34738007249137,-62.47955600118689,-62.63298583608573,-62.42876495972045,-62.24327064296853,-62.67706174589902,-62.08141331669646,-62.199484518648894,-62.323539820601944,-62.57817868722717,-62.544335351713,-62.43232969025794,-62.235123412503555,-62.17138666627149,-62.37921260752067,-62.164212380334824,-61.59321706246651,-62.34181260560764,-62.696062366369695,-61.584756160316125,-62.22271059225802,-62.29285162000965,-62.520247019221365,-62.60537995590269,-63.10268106724739,-62.17914598027046,-62.38267991847918,-62.00302706312199,-62.546900228619826,-62.46401204599598,-62.89902471670414,-62.99834948750511,-62.801991243060094,-62.97697141589624,-62.043568398848215,-62.16445551352614,-61.91106986233577,-61.8731222679897,-62.30102483006077,-62.2186143569678,-62.83911204231509,-61.761725171455915,-62.45021939038969,-62.179530709668576,-62.50726307792354,-61.98748891453214,-61.746115945822325,-62.440424932105415,-62.67634750114084,-62.55377668946049,-62.26031846451106,-62.95875700166879,-62.16537092923248,-62.38662771327107,-62.37576902437185,-62.091933262478776
1250.0,-60.114274282807095,-59.84578582456473,-60.393890017477695,-59.90286352037808,-60.81864224174978,-60.53815706855471,-60.26535224156488,-60.49871917209005,-59.87554238677828,-60.997356647635,-60.624254438062486,-60.354215368161626,-60.25298248592596,-61.05989250146196,-59.45895138291509,-55.689924010396,-58.80384925299861,-59.873292330189514,-58.59529270732831,-53.25213919925611,-48.441037494694385,-47.67912882904828,-59.174090339304975,-59.484838402306295,-58.777332662154,-54.536475187143495,-60.39518072746369,-60.510054495705205,-60.361259927798464,-60.43508163443401,-60.733520404968274,-60.53005970380175,-60.19869041399625,-60.903665453496096,-60.52806400733123,-60.18216333843238,-60.22828268625385,-60.25728579175424,-59.92980409787328,-60.673510900450054,-60.40657791687452,-60.23880968760908,-60.49883742204663,-60.283003586338445,-60.115708188261024,-60.606694516022074,-60.3962728362342,-60.40967660457364,-60.50126576994606,-59.95549373114012,-60.228822645302756,-59.32952445342914,-59.97813086174304,-60.51112836497467,-60.60136565545668,-60.570447016319854,-60.817532213985764,-60.291277352930045,-60.40288771509454,-61.056242893777465,-60.49502266350266,-60.20478984741178,-60.229536691183,-59.88141628404036,-61.12975267107564,-59.99890354605445,-59.921989888175396,-60.40984746300176,-60.788451502960314,-60.59255772772844,-60.36796184038749,-60.376632894292534,-60.48429745030921,-60.230408326954006,-60.75280984134158,-60.153108084877786,-60.512347028935
1500.0,-59.43421268181936,-58.72877435044385,-58.546406444857446,-58.53119457168447,-58.79173882499058,-58.29933839589921,-58.31379000013211,-58.83846131616123,-58.08807881950836,-58.97907936197292,-58.66227911814925,-59.21772919793491,-56.629116158230545,-43.0672554079883,-29.550284953219585,-22.205375330434233,-26.434747320133155,-25.20150476533697,-23.938432899946598,-18.730318261863882,-19.16408031795797,-24.235704410179384,-27.6489851117578,-27.044463096960236,-24.88356167186999,-23.33850887089091,-50.041848603727914,-51.792781880800455,-56.501971193970796,-49.94395333935393,-46.604428405552966,-47.412557588894316,-49.82989364261295,-56.20092394407118,-51.57512893036981,-42.74709482989363,-40.583785101925876,-37.27564320825711,-29.404732181742204,-32.05863688934521,-41.750254094493386,-39.690297840846945,-43.54132389979228,-37.03361391196936,-37.08987743316848,-43.89809836495751,-45.401145001771596,-37.47117897734797,-37.60241109055728,-36.156270403225165,-37.07213762969305,-44.836444539408575,-60.74902462619734,-58.16009477796767,-58.755055116907236,-58.31151417915467,-58.32823895546345,-58.91807097246331,-58.51240055968368,-57.79556070284782,-55.02390787744307,-57.78415332695396,-58.83028393379204,-58.42812693707272,-58.81168308162898,-58.92653049062647,-58.13955596183815,-51.31890413520907,-49.71178627620589,-52.57380973599084,-49.61673392165854,-52.433678920809214,-58.23200264355345,-49.193065933276294,-56.8251536287635,-50.95348514240133,-49.77953260947048
1750.0,-57.907516282290715,-57.687571885847134,-55.602224778561805,-53.577279010380444,-54.643118558372066,-56.30036322817273,-57.15057546232613,-55.89693721077138,-53.87517939071395,-54.77108786478377,-48.71495863987961,-44.506960102134045,-40.8188089095025,-31.740604346610915,-20.435076691617304,-16.0625025396464,-18.949641901191242,-15.93133060761013,-15.305016629258107,-14.526116366574719,-18.921288405093506,-26.644954042363473,-25.413216301568802,-21.66376584337468,-18.93219013517912,-21.39452592983973,-36.19407917473084,-38.47671275602341,-37.07273814673393,-35.99753541037816,-31.84576231295982,-31.73318053579269,-36.34915542615201,-37.98377753022693,-32.052033264204766,-24.15984308031201,-28.40203629916717,-20.568013627508204,-21.11883291281017,-23.26825629173921,-27.201585847867,-25.86255574712922,-27.925226333204918,-26.382145646245576,-27.404350528440165,-34.05099280889744,-28.607595274384497,-21.62276998940765,-25.435079770537147,-26.63111024088023,-24.4935453731815,-25.320256290182844,-39.12492786480889,-39.698694770006036,-46.31584579178847,-41.16700877005761,-45.4794179129761,-44.59914360342131,-46.24868875487308,-37.74581530630465,-36.986539089930915,-41.69921198510961,-47.10484383643176,-42.82938569074352,-41.13279454726245,-55.26877765761686,-44.737642767369316,-28.992765146715826,-38.3976049592367,-38.920923730757096,-32.78829919758329,-41.35773422717338,-43.61296668468944,-38.708215865917204,-45.61322602362885,-34.52046950478607,-48.11999753990242
2000.0,-53.27182126169212,-54.825840655367045,-54.997783934401475,-54.60167269711992,-51.89017346823271,-45.83262941923028,-46.1854957970336,-47.11158631563803,-44.79669584899693,-40.85121378380169,-37.47162006510503,-34.9392651953975,-33.51064674845125,-30.990204788545345,-19.553101511732123,-17.33348785853964,-19.15810308190943,-14.14722344970885,-19.860706302629083,-19.471959754084352,-27.85995164820605,-29.850745927923523,-22.473859106315803,-22.36421290988906,-25.838640316758543,-28.58145832056896,-31.215088140713938,-29.397497554490563,-31.711009086337146,-26.904600239497572,-27.44741596816493,-28.335303014971835,-30.08616286941021,-27.989260543786536,-23.737628393732873,-21.112260962705083,-23.11809087100253,-19.27159739885334,-21.89852317628752,-19.795800803213158,-23.575440090621207,-22.473170256245748,-27.336501913883,-23.27182572590275,-31.73542046287958,-24.798349504390448,-20.619780199340656,-17.551310297704482,-24.619525754172372,-24.68483945015647,-11.240939766638576,-16.18781344407438,-40.84363679349653,-39.42392533350297,-40.93913961803288,-34.268391538670606,-32.62480519066762,-34.36087072120493,-27.085179725028745,-28.096446238069564,-31.687493701456905,-38.156872811632816,-41.968802773345516,-36.06185465454739,-34.903657123745035,-44.93623550688076,-29.587197463403744,-27.094620158388633,-45.27360168544374,-34.033860784666494,-32.101326534272495,-38.535283540007846,-35.84731606442005,-44.28857568319159,-35.759277125684015,-36.15595603394165,-48.91087474000243
2250.0,-38.842261794551874,-36.36391748909188,-34.936055758000165,-34.96556897494809,-34.96024754597742,-34.60091346202467,-35.074178435815746,-34.40789748334457,-34.04708509246618,-33.913839439896556,-32.16096451565781,-31.242548628849672,-29.659764868136836,-26.82363283255933,-26.119137555974987,-20.769339808350683,-23.290939122230984,-24.279042762381188,-28.342641551744904,-30.69038041676106,-35.77697588851577,-32.26214394090925,-26.77839529507911,-32.02173497404147,-36.07130914460153,-32.529025158337674,-32.499811194826336,-33.237119680243744,-33.60104632307335,-26.831732585368506,-28.073563611394157,-33.10996741581253,-29.059216232093384,-25.973468789659094,-20.741929192802985,-22.800775492313946,-17.648757011788813,-22.64105315175382,-19.00219606664314,-15.688576064963835,-17.123153824387966,-17.318613924332084,-20.481259281649166,-21.922209933877774,-27.964655346802715,-17.507989906039917,-15.397445810984324,-14.002318709130716,-18.897710393652,-20.518307295659973,-16.583613802088617,-16.71777228232362,-42.5862347093452,-32.14134656284196,-32.48738659424375,-23.362191733320362,-24.654074719446612,-23.975783040112436,-23.490446058219128,-22.469869137913058,-21.592718535927567,-27.583731086699313,-32.13616661119804,-25.617983007935894,-35.09202483757704,-31.88390660584959,-24.42875107696348,-30.51521794199642,-37.886079068844445,-37.54997122827108,-40.43173205213296,-25.104553953597488,-22.023992644793573,-32.1892006128604,-27.07716699817613,-28.01072031946153,-28.63344333473833
