Height,2013/05/15 03:56:38,2013/05/15 03:57:38,2013/05/15 03:58:38,2013/05/15 03:59:38,2013/05/15 04:00:38,2013/05/15 04:01:38,2013/05/15 04:02:38,2013/05/15 04:03:38,2013/05/15 04:04:38,2013/05/15 04:05:38,2013/05/15 04:06:38,2013/05/15 04:07:38,2013/05/15 04:08:38,2013/05/15 04:09:38,2013/05/15 04:10:38,2013/05/15 04:11:38,2013/05/15 04:12:38,2013/05/15 04:13:38,2013/05/15 04:14:38,2013/05/15 04:15:38,2013/05/15 04:16:38,2013/05/15 04:17:38,2013/05/15 04:18:37,2013/05/15 04:19:38,2013/05/15 04:20:38
600.0,-63.222113299782954,-69.07159246596181,-63.51714519102323,-64.45108912087876,-63.94849358363477,-66.48035628931638,-62.42754945997661,-63.966549080023945,-61.01012068654038,-62.918960304838265,-63.76876395030818,-65.99114471920235,-64.77516359402011,-65.13541200010654,-66.37016766564243,-67.02199915384249,-63.808509018341596,-66.49911808329377,-67.38219226446925,-65.21293492352416,-64.85731352627212,-63.186916258525294,-63.429264485470284,-65.90626473622304,-63.28552498377848
700.0,-63.528754473618136,-62.64753377729442,-62.54520106781901,-62.62056192717695,-63.11048110224142,-62.97850809859848,-63.3223983463109,-63.21075044396511,-63.0309741580399,-63.11751910787599,-62.98129836262479,-63.684011596899666,-62.79206355250524,-62.77326909911578,-62.44363021330108,-62.42048430383224,-62.78710858455092,-63.289585421766105,-62.620638314554974,-63.519351106100245,-63.07347094883185,-63.07920247897217,-63.370741241201806,-63.22020430505899,-62.96669909284093
800.0,-62.123563710799544,-61.7421430989306,-61.71397622596764,-61.4960384440389,-61.37104862531196,-61.64218546773882,-61.644168934188784,-61.59861343925967,-62.16000967368435,-61.45405856665772,-61.49396034399948,-61.54944752263752,-61.803652179582265,-61.91300218961311,-61.371569400729534,-61.6526248919524,-61.564132811130065,-61.94006770529834,-62.16252309877738,-62.071359552823324,-62.100775507550836,-61.2730515740647,-61.54552003172752,-62.200653998990234,-61.88184083869124
900.0,-59.18822467975145,-60.32050103123649,-60.5851297736725,-60.81662180299077,-60.625502155252214,-59.83944899855002,-60.307657335312385,-60.380979602734676,-60.878223507779026,-60.9703703774259,-60.72210846480355,-60.87127156267603,-61.147752817897015,-60.799166091862695,-60.527975392899094,-60.84377384003918,-60.38625544029859,-60.85170936503854,-60.471741267068104,-60.98068009317112,-60.917591139317416,-60.82254083176126,-60.55672520025389,-60.909105709955774,-61.040708352164074
1000.0,-60.17342799754783,-59.444278147895616,-60.213171712581115,-59.64099345450111,-60.279456398020386,-59.98544276411946,-59.31356581118893,-59.821964635707126,-60.038208492997605,-59.48657279149109,-59.935315793840225,-59.98716078897375,-59.83587314014646,-59.785924950243356,-59.96959427722786,-59.55141263071291,-60.15281089091075,-59.2730908235504,-59.71118158302364,-59.89107459957985,-59.61226838210291,-59.813454345181405,-59.833045691829206,-59.85590890747231,-59.24973598999431
1250.0,-58.198113734752624,-58.44049672775035,-58.132580798136296,-57.4924034783307,-57.99279936781074,-57.916256709896665,-57.8662105404187,-57.652372622389805,-57.31538448690772,-57.5812136674427,-57.76759679189494,-58.11379309265526,-57.609237618792704,-57.732930107689754,-57.6504971514526,-57.582575139073334,-58.37092810323189,-58.17828227433373,-58.16516677624351,-57.26227604077236,-57.83611387157348,-57.85562726566784,-57.8685864551537,-57.978060589806084,-57.30985780922721
1500.0,-55.85232822086759,-56.19755364232215,-56.32202098795551,-56.44649511987343,-56.25671898503713,-56.33879297903369,-55.777495893975455,-56.334309072252616,-56.13454822065298,-55.90120870926753,-56.2071598966021,-56.708569529426946,-56.067550070933265,-56.501115385029856,-55.89891879996109,-56.32560915861424,-55.76631073630926,-56.19269780057323,-55.89801695583249,-56.3727485630271,-56.190327507772885,-56.03396013400412,-55.98816988996334,-56.509699892593126,-56.23584956835024
1750.0,-54.74073604977822,-54.990083041011374,-54.79039570926676,-54.09126588399325,-54.48181931059358,-52.40156607106005,-54.346628478808,-53.82439737031623,-54.69355308787631,-54.915139521372545,-54.473768960282264,-54.8843076100624,-54.28256944040204,-55.03265382446494,-54.846065746332876,-55.377703354029755,-55.262021664447175,-54.98002488792627,-54.99726500486576,-54.98475715628393,-55.39179090971536,-54.89491789214957,-55.10886650504983,-55.22437861985782,-54.75910592964209
2000.0,-50.12303510518089,-43.12330640147703,-48.22436862668761,-45.735967158678754,-41.11528669717078,-44.64731383450702,-41.55923863846864,-43.55065844706091,-45.362293838663795,-42.68953674553617,-52.44530255710894,-50.39829457598009,-53.28802723585705,-53.27684880973909,-52.22252172577156,-53.102674290284426,-54.09458390753544,-53.6521499458256,-53.34893316256179,-53.792586665712754,-53.865540547569616,-53.5202104143098,-53.989848238876405,-53.52274786707421,-53.56825392928898
2250.0,-31.004327011514725,-35.312877520463644,-33.55390669364514,-40.29653032993251,-39.530506773178764,-33.56249853106419,-32.43799685373834,-32.9933748631002,-34.324694409755494,-33.05621873699885,-30.799228415681046,-34.82299244596481,-31.83828878613383,-34.29932002142593,-34.91005486870311,-35.3564070935075,-39.5248083293889,-39.79190776081066,-39.45881258814465,-41.19296659512582,-43.366690383304274,-49.17011072728063,-49.26413627729904,-51.75030231733785,-50.763248681369745
