Height,2012/10/22 01:47:38,2012/10/22 01:48:38,2012/10/22 01:49:38,2012/10/22 01:50:38,2012/10/22 01:51:38,2012/10/22 01:52:38,2012/10/22 01:53:38,2012/10/22 01:54:38,2012/10/22 01:55:38,2012/10/22 01:56:38,2012/10/22 01:57:38,2012/10/22 01:58:38,2012/10/22 01:59:38,2012/10/22 02:00:38,2012/10/22 02:01:38,2012/10/22 02:02:38,2012/10/22 02:03:38,2012/10/22 02:04:38,2012/10/22 02:05:38,2012/10/22 02:06:38,2012/10/22 02:07:38,2012/10/22 02:08:38,2012/10/22 02:09:38,2012/10/22 02:10:38,2012/10/22 02:11:38
600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013141
1750.0,0.0,0.0,0.0,0.0,0.0,0.001102,0.000118,0.0,0.0,0.0,0.0,0.004049,0.013899,0.012086,0.01356,0.014399,0.011072,0.010246,0.018306,0.023845,0.022618,0.020869,0.0275,0.0124,0.041323
2000.0,0.0,0.002428,0.006201,0.003575,0.002555,0.007047,0.006786,0.008891,0.007327,0.009515,0.003697,0.007712,0.014121,0.015657,0.022054,0.019424,0.017968,0.024141,0.027322,0.028004,0.030724,0.030994,0.035087,0.030305,0.045964
2250.0,0.010617,0.011911,0.015905,0.010371,0.009044,0.011354,0.012863,0.017574,0.016536,0.019455,0.012778,0.013139,0.011401,0.015266,0.028971,0.018723,0.021513,0.035187,0.031164,0.024351,0.029479,0.03634,0.035577,0.042914,0.044063
2500.0,0.01625,0.015883,0.020519,0.013349,0.013052,0.013986,0.016158,0.022234,0.021434,0.023738,0.016407,0.016046,0.011883,0.015325,0.032477,0.020879,0.02275,0.039213,0.031582,0.02444,0.029621,0.039551,0.035068,0.048412,0.042205
2750.0,0.012521,0.011203,0.017517,0.009448,0.009834,0.008003,0.013414,0.017572,0.016951,0.020463,0.011505,0.012582,0.007312,0.010623,0.028544,0.017432,0.018692,0.034825,0.025454,0.019346,0.024489,0.03533,0.028472,0.044322,0.03434
3000.0,0.017758,0.015407,0.018988,0.010917,0.011521,0.00864,0.015122,0.020232,0.019228,0.022749,0.015647,0.015045,0.005234,0.010941,0.032941,0.017136,0.021839,0.040685,0.0281,0.018193,0.023132,0.039826,0.029121,0.049146,0.033874
3250.0,0.019675,0.017265,0.019679,0.010726,0.00966,0.005538,0.014455,0.02363,0.020973,0.020332,0.021085,0.011901,0.0,0.008928,0.034072,0.013251,0.021478,0.043935,0.029996,0.012347,0.018813,0.042315,0.028243,0.054571,0.029928
3500.0,0.018264,0.01565,0.019154,0.010012,0.007233,0.001621,0.012811,0.020817,0.018934,0.01978,0.020452,0.0099,0.0,0.006502,0.032459,0.00882,0.020922,0.044827,0.030101,0.009098,0.01601,0.04023,0.026057,0.055191,0.027062
3750.0,0.018757,0.016077,0.020228,0.011208,0.007699,0.001457,0.012768,0.02076,0.019859,0.020187,0.021132,0.009729,0.0,0.006541,0.032163,0.007918,0.020913,0.045423,0.030593,0.007983,0.01599,0.038436,0.025712,0.056205,0.026673
4000.0,0.020215,0.017832,0.025204,0.014825,0.010624,0.005596,0.015654,0.022876,0.022884,0.02464,0.02219,0.011367,0.0,0.009463,0.031822,0.011254,0.022039,0.045344,0.031073,0.011646,0.020029,0.037828,0.026896,0.056947,0.026668
4250.0,0.018506,0.016397,0.023725,0.014168,0.010934,0.007001,0.014765,0.020646,0.021118,0.022796,0.01965,0.010934,0.001209,0.009323,0.026973,0.010461,0.018378,0.037766,0.025571,0.010573,0.017632,0.030859,0.022402,0.048583,0.022242
4500.0,0.016209,0.014293,0.021047,0.012003,0.008668,0.004382,0.012395,0.018196,0.018515,0.020481,0.016553,0.007872,0.0,0.007502,0.023982,0.00964,0.016066,0.03476,0.022405,0.00894,0.016585,0.029165,0.019843,0.045311,0.019482
4750.0,0.017633,0.015131,0.019879,0.011923,0.00975,0.005839,0.012113,0.018718,0.019219,0.020394,0.016183,0.008689,0.000135,0.006909,0.023869,0.010541,0.015159,0.033822,0.020928,0.009117,0.016137,0.028787,0.018938,0.043644,0.019316
5000.0,0.018107,0.015672,0.015112,0.010383,0.010052,0.006644,0.01092,0.017269,0.016965,0.016181,0.015818,0.00919,0.002168,0.007104,0.020581,0.00897,0.012014,0.026702,0.015741,0.005849,0.010799,0.023072,0.014399,0.033793,0.015005
5250.0,0.019423,0.017587,0.014358,0.011203,0.010821,0.008215,0.011586,0.017937,0.017046,0.01544,0.017737,0.010083,0.004114,0.009553,0.020318,0.009519,0.012731,0.025278,0.015801,0.005985,0.010266,0.022203,0.014543,0.030835,0.014437
5500.0,0.017543,0.016688,0.012812,0.010533,0.00954,0.008096,0.010949,0.016426,0.015042,0.013601,0.017254,0.009072,0.00501,0.010899,0.017851,0.008868,0.012094,0.021806,0.014724,0.005667,0.009453,0.019352,0.013976,0.02615,0.012866
5750.0,0.017641,0.017524,0.014034,0.012033,0.009949,0.009367,0.011729,0.017068,0.015713,0.014266,0.018709,0.009281,0.006071,0.012433,0.017017,0.008591,0.01256,0.021266,0.015782,0.005718,0.01002,0.017799,0.014918,0.025237,0.013073
6000.0,0.017482,0.017302,0.014328,0.01252,0.010336,0.010192,0.011917,0.016156,0.015339,0.014928,0.018209,0.010209,0.006496,0.012514,0.016812,0.008732,0.013555,0.021333,0.016256,0.007042,0.01044,0.017352,0.014788,0.023964,0.012811
6250.0,0.014424,0.014468,0.012597,0.010858,0.008619,0.008747,0.01012,0.01393,0.013191,0.012519,0.015784,0.008228,0.005263,0.010389,0.013444,0.006745,0.010947,0.017383,0.013661,0.005382,0.008455,0.013736,0.012276,0.019948,0.010241
6500.0,0.014702,0.014543,0.011668,0.010679,0.009663,0.010555,0.009965,0.014289,0.013576,0.011782,0.015104,0.009132,0.006649,0.01009,0.013287,0.008015,0.010491,0.015871,0.012664,0.006306,0.008646,0.013358,0.011941,0.017694,0.010648
6750.0,0.012005,0.01149,0.008905,0.008247,0.007981,0.008566,0.007748,0.011419,0.011,0.009322,0.011622,0.007675,0.005096,0.007339,0.011163,0.006786,0.008483,0.013155,0.010074,0.00537,0.006955,0.011355,0.009461,0.014383,0.008839
7000.0,0.010366,0.009932,0.007391,0.007088,0.006963,0.007539,0.00674,0.009626,0.009295,0.007963,0.009987,0.006939,0.004832,0.006637,0.009658,0.00599,0.007502,0.01115,0.008694,0.0049,0.005959,0.00962,0.008196,0.011839,0.00769
7250.0,0.009153,0.008771,0.006317,0.006208,0.006037,0.006582,0.005839,0.008016,0.007799,0.007109,0.008632,0.006252,0.004057,0.005779,0.008395,0.005029,0.006857,0.009878,0.007669,0.004482,0.005058,0.008478,0.006938,0.009978,0.006506
7500.0,0.00699,0.006585,0.004634,0.004689,0.004634,0.00508,0.004346,0.005467,0.005518,0.005652,0.006124,0.005085,0.003087,0.004221,0.006253,0.003637,0.0054,0.007486,0.005671,0.003697,0.003679,0.006226,0.00487,0.006972,0.004699
7750.0,0.004731,0.004299,0.00312,0.003164,0.003299,0.003287,0.002879,0.003377,0.003713,0.003886,0.003829,0.003761,0.002056,0.002696,0.004746,0.002679,0.004134,0.005709,0.004193,0.002959,0.002825,0.004664,0.003381,0.005248,0.003601
8000.0,0.001246,0.001042,0.00082,0.000828,0.000962,0.000766,0.000722,0.000738,0.000994,0.001047,0.000843,0.001154,0.000516,0.000611,0.001556,0.000842,0.001347,0.001885,0.001314,0.001028,0.000949,0.001508,0.000956,0.001741,0.001211
8250.0,0.001039,0.000869,0.000684,0.00069,0.000802,0.000639,0.000602,0.000615,0.000829,0.000874,0.000703,0.000962,0.00043,0.00051,0.001298,0.000702,0.001124,0.001572,0.001096,0.000857,0.000792,0.001258,0.000797,0.001452,0.00101
8500.0,0.000666,0.000557,0.000438,0.000442,0.000514,0.000409,0.000386,0.000394,0.000532,0.00056,0.00045,0.000617,0.000275,0.000327,0.000833,0.00045,0.000721,0.001009,0.000703,0.00055,0.000507,0.000807,0.000511,0.000932,0.000648
8750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
