Height,2012/10/24 17:45:38,2012/10/24 17:46:38,2012/10/24 17:47:38,2012/10/24 17:48:38,2012/10/24 17:49:38,2012/10/24 17:50:38,2012/10/24 17:51:38,2012/10/24 17:52:37,2012/10/24 17:53:37,2012/10/24 17:54:38,2012/10/24 17:55:38,2012/10/24 17:56:37,2012/10/24 17:57:38,2012/10/24 17:58:37,2012/10/24 17:59:37,2012/10/24 18:00:37,2012/10/24 18:01:38,2012/10/24 18:02:38,2012/10/24 18:03:38,2012/10/24 18:04:38,2012/10/24 18:05:38,2012/10/24 18:06:38,2012/10/24 18:07:38,2012/10/24 18:08:38,2012/10/24 18:09:38,2012/10/24 18:10:37,2012/10/24 18:56:37,2012/10/24 18:57:38,2012/10/24 18:58:38,2012/10/24 18:59:38,2012/10/24 19:00:38,2012/10/24 19:01:37,2012/10/24 19:02:37,2012/10/24 19:03:38,2012/10/24 19:04:37,2012/10/24 19:05:38,2012/10/24 19:06:38,2012/10/24 19:07:38,2012/10/24 19:08:37,2012/10/24 19:09:38,2012/10/24 19:10:38,2012/10/24 19:11:38,2012/10/24 19:12:37,2012/10/24 19:13:38,2012/10/24 19:14:37,2012/10/24 19:15:37,2012/10/24 19:16:38,2012/10/24 19:17:37,2012/10/24 19:18:37,2012/10/24 19:19:37,2012/10/24 19:20:38,2012/10/24 19:21:37,2012/10/24 20:07:38,2012/10/24 20:08:38,2012/10/24 20:09:38,2012/10/24 20:10:38,2012/10/24 20:11:38,2012/10/24 20:12:38,2012/10/24 20:13:38,2012/10/24 20:14:38,2012/10/24 20:15:38,2012/10/24 20:16:38,2012/10/24 20:17:38,2012/10/24 20:18:38,2012/10/24 20:19:38,2012/10/24 20:20:38,2012/10/24 20:21:38,2012/10/24 20:22:38,2012/10/24 20:23:38,2012/10/24 20:24:38,2012/10/24 20:25:38,2012/10/24 20:26:37,2012/10/24 20:27:38,2012/10/24 20:28:38,2012/10/24 20:29:38,2012/10/24 20:30:38,2012/10/24 20:31:38
600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014398,0.0,0.0,0.0,0.0,0.0,0.0,0.004859,0.0,0.058928,0.025334,0.037272,0.07394,0.07445,0.089676,0.125286,0.083697,0.067073,0.09356,0.029603,0.03344,0.0,0.0,0.0,0.0,0.024366,0.000282,0.0,0.044498,0.050429,0.0,0.0,0.0,0.0,0.0,0.021475,0.008666,0.017984,0.0,0.023475,0.0,0.024336,0.0,0.0,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007807,0.008115,0.0,0.0,0.020471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027489,0.0,0.0,0.0,0.0,0.012876,0.0,0.021951,0.0,0.072813,0.046212,0.056718,0.090776,0.088498,0.105532,0.139008,0.102656,0.08432,0.109309,0.047859,0.046736,0.0,0.010487,0.001476,0.0,0.039241,0.016357,0.001567,0.057054,0.06741,0.018507,0.008562,0.006263,0.0,0.012818,0.03705,0.027958,0.033647,0.0,0.038383,0.0,0.040259,0.007394,0.0,0.027118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020841,0.022021,0.0,0.0,0.031543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022767,0.0,0.0,0.0,0.0,0.014532,0.0,0.022591,0.002387,0.06944,0.047663,0.058595,0.090712,0.083746,0.104858,0.134866,0.101195,0.085742,0.10883,0.049004,0.041903,0.0,0.010746,0.001785,0.0,0.034377,0.017363,0.00249,0.051384,0.067024,0.019019,0.009264,0.007258,0.0,0.014294,0.03596,0.028599,0.03208,0.0,0.039913,0.0,0.040063,0.009207,0.003334,0.026346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019168,0.021169,0.0,0.0,0.025696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019297,0.0,0.000229,0.001559,0.0,0.014794,0.0,0.021131,0.005178,0.065902,0.048843,0.059703,0.089613,0.080938,0.104013,0.131776,0.101172,0.086823,0.108323,0.049018,0.038529,0.0,0.011238,0.002347,0.0,0.031344,0.0182,0.003636,0.048406,0.067378,0.018268,0.009008,0.00788,0.0,0.014213,0.035063,0.029328,0.031307,0.0,0.040572,0.0,0.039958,0.010274,0.005556,0.025991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01767,0.020096,0.0,0.0,0.022208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025781,0.0,0.006674,0.006218,0.000436,0.019889,0.007458,0.025267,0.010965,0.071085,0.057166,0.06696,0.095511,0.085505,0.110497,0.135704,0.107927,0.090315,0.115245,0.057478,0.044004,0.0,0.02074,0.005429,0.0,0.037006,0.025923,0.008357,0.053141,0.071322,0.02622,0.014781,0.01739,0.004247,0.02191,0.040791,0.039868,0.040615,0.0,0.04335,0.0,0.046923,0.019562,0.011417,0.034195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01922,0.02626,0.0,0.0,0.026973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02003,0.0,0.00698,0.006544,0.002689,0.024514,0.01384,0.023712,0.013736,0.063236,0.054587,0.065406,0.086764,0.074277,0.101087,0.123721,0.100091,0.087288,0.108096,0.058252,0.039322,0.0,0.022733,0.007624,0.0,0.033303,0.032515,0.014608,0.046695,0.066858,0.027252,0.017637,0.019437,0.011127,0.027352,0.040299,0.039762,0.041904,0.0,0.042167,0.0,0.046947,0.025574,0.01832,0.034914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016843,0.024121,0.0,0.000816,0.021837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.006043,0.0,0.031668,0.002939,0.028714,0.027408,0.025269,0.044635,0.037696,0.040304,0.038088,0.073336,0.072644,0.082311,0.094479,0.082572,0.108235,0.125446,0.111699,0.097905,0.114348,0.076645,0.052636,0.013757,0.041465,0.027708,0.010158,0.04836,0.051095,0.039259,0.058145,0.079742,0.050012,0.037144,0.041497,0.037726,0.046069,0.059379,0.059321,0.059932,0.020008,0.055912,0.021328,0.061335,0.049479,0.0426,0.052782,0.022416,0.008522,0.0,0.004453,0.0,0.0,0.0,0.005492,0.033322,0.039111,0.011642,0.018898,0.037143,0.016298,0.011266,0.019496,0.013696,0.012446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00248
1750.0,0.00514,0.021663,0.007571,0.011894,0.025979,0.00432,0.046799,0.027859,0.044836,0.04446,0.051999,0.066454,0.064774,0.059815,0.057812,0.085569,0.086123,0.095139,0.099864,0.08657,0.110386,0.122606,0.119134,0.10642,0.118649,0.092887,0.066504,0.040806,0.059262,0.047927,0.040384,0.063397,0.069315,0.0648,0.069781,0.086104,0.069678,0.058621,0.058025,0.060387,0.067584,0.07859,0.075238,0.075192,0.04366,0.070025,0.052086,0.071262,0.070234,0.065612,0.069917,0.047648,0.030318,0.022726,0.026633,0.012762,0.025975,0.019537,0.028185,0.050346,0.053918,0.033352,0.037703,0.053429,0.035384,0.035101,0.040188,0.04009,0.039346,0.018614,0.017225,0.023737,0.023071,0.025448,0.027,0.018294,0.028609
2000.0,0.010355,0.024617,0.015111,0.024178,0.02327,0.012572,0.046935,0.033679,0.049969,0.048077,0.056235,0.068471,0.07187,0.05871,0.064022,0.082962,0.089331,0.09731,0.09753,0.087412,0.110804,0.116444,0.116785,0.101399,0.114384,0.097181,0.067006,0.050993,0.064695,0.050648,0.054171,0.064825,0.072396,0.066955,0.068032,0.086156,0.077478,0.061032,0.067548,0.068161,0.070565,0.082148,0.082543,0.080586,0.050423,0.068333,0.065402,0.074995,0.076832,0.07031,0.075457,0.059434,0.032103,0.022565,0.027918,0.024398,0.0315,0.026925,0.032417,0.050719,0.056699,0.035194,0.038255,0.05589,0.041035,0.041,0.047741,0.049373,0.046196,0.026359,0.027107,0.031728,0.028954,0.035789,0.03136,0.027892,0.040863
2250.0,0.013596,0.023346,0.020812,0.031727,0.017227,0.019665,0.037541,0.034585,0.048508,0.044975,0.053808,0.062605,0.069616,0.052205,0.063333,0.066889,0.080849,0.086455,0.082038,0.075384,0.09567,0.094885,0.099624,0.085297,0.093791,0.088425,0.055942,0.053004,0.059123,0.047059,0.05937,0.05572,0.06513,0.061365,0.053328,0.073525,0.074472,0.055408,0.065972,0.067825,0.063194,0.074443,0.077118,0.071836,0.049483,0.058954,0.069612,0.066883,0.072291,0.068416,0.068118,0.063943,0.030369,0.022551,0.024906,0.033175,0.031981,0.0327,0.031117,0.045521,0.0512,0.032353,0.034846,0.049013,0.041332,0.042456,0.04681,0.051635,0.046596,0.032091,0.03172,0.036324,0.032863,0.039486,0.032132,0.033911,0.04501
