Height,2013/05/14 20:11:39,2013/05/14 20:12:39,2013/05/14 20:13:39,2013/05/14 20:14:39,2013/05/14 20:15:39,2013/05/14 20:16:39,2013/05/14 20:17:38,2013/05/14 20:18:39,2013/05/14 20:19:38,2013/05/14 20:20:39,2013/05/14 20:21:39,2013/05/14 20:22:39,2013/05/14 20:23:39,2013/05/14 20:24:39,2013/05/14 20:25:39,2013/05/14 20:26:39,2013/05/14 20:27:39,2013/05/14 20:28:39,2013/05/14 20:29:39,2013/05/14 20:30:39,2013/05/14 20:31:38,2013/05/14 20:32:38,2013/05/14 20:33:39,2013/05/14 20:34:39,2013/05/14 20:35:39,2013/05/14 20:36:39,2013/05/14 20:52:39,2013/05/14 20:53:38,2013/05/14 20:54:39,2013/05/14 20:55:39,2013/05/14 20:56:39,2013/05/14 20:57:39,2013/05/14 20:58:39,2013/05/14 20:59:39,2013/05/14 21:00:39,2013/05/14 21:01:39,2013/05/14 21:02:39,2013/05/14 21:03:39,2013/05/14 21:04:39,2013/05/14 21:05:39,2013/05/14 21:06:39,2013/05/14 21:07:39,2013/05/14 21:08:39,2013/05/14 21:09:39,2013/05/14 21:10:39,2013/05/14 21:11:39,2013/05/14 21:12:39,2013/05/14 21:13:39,2013/05/14 21:14:39,2013/05/14 21:15:39,2013/05/14 21:16:39,2013/05/14 21:17:39,2013/05/14 21:36:39,2013/05/14 21:37:39,2013/05/14 21:38:39,2013/05/14 21:39:39,2013/05/14 21:40:39,2013/05/14 21:41:39,2013/05/14 21:42:39,2013/05/14 21:43:39,2013/05/14 21:44:39,2013/05/14 21:45:39,2013/05/14 21:46:39,2013/05/14 21:47:39,2013/05/14 21:48:39,2013/05/14 21:49:39,2013/05/14 21:50:39,2013/05/14 21:51:39,2013/05/14 21:52:39,2013/05/14 21:53:39,2013/05/14 21:54:39,2013/05/14 21:55:39,2013/05/14 21:56:39,2013/05/14 21:57:39,2013/05/14 21:58:39,2013/05/14 21:59:39,2013/05/14 22:00:39,2013/05/14 22:01:39,2013/05/14 22:19:39,2013/05/14 22:20:38,2013/05/14 22:21:39,2013/05/14 22:22:39,2013/05/14 22:23:38,2013/05/14 22:24:38,2013/05/14 22:25:39,2013/05/14 22:26:39,2013/05/14 22:27:39,2013/05/14 22:28:39,2013/05/14 22:29:39,2013/05/14 22:30:39,2013/05/14 22:31:39,2013/05/14 22:32:39,2013/05/14 22:33:39,2013/05/14 22:34:39,2013/05/14 22:35:39,2013/05/14 22:36:39,2013/05/14 22:37:39,2013/05/14 22:38:39,2013/05/14 22:39:39,2013/05/14 22:40:39,2013/05/14 22:41:39,2013/05/14 22:42:39,2013/05/14 22:43:39,2013/05/14 22:44:39,2013/05/14 23:01:39,2013/05/14 23:02:39,2013/05/14 23:03:39,2013/05/14 23:04:38,2013/05/14 23:05:39,2013/05/14 23:06:39,2013/05/14 23:07:39,2013/05/14 23:08:39,2013/05/14 23:09:38,2013/05/14 23:10:38,2013/05/14 23:11:39,2013/05/14 23:12:38,2013/05/14 23:13:39,2013/05/14 23:14:39,2013/05/14 23:15:39,2013/05/14 23:16:39,2013/05/14 23:17:39,2013/05/14 23:18:38,2013/05/14 23:19:39,2013/05/14 23:20:39,2013/05/14 23:21:39,2013/05/14 23:22:39,2013/05/14 23:23:39,2013/05/14 23:24:39,2013/05/14 23:25:39,2013/05/14 23:41:39,2013/05/14 23:42:38,2013/05/14 23:43:39,2013/05/14 23:44:39,2013/05/14 23:45:39,2013/05/14 23:46:38,2013/05/14 23:47:39,2013/05/14 23:48:39,2013/05/14 23:49:38,2013/05/14 23:50:39,2013/05/14 23:51:39,2013/05/14 23:52:39,2013/05/14 23:53:39,2013/05/14 23:54:39,2013/05/14 23:55:38,2013/05/14 23:56:39,2013/05/14 23:57:39,2013/05/14 23:58:39,2013/05/14 23:59:39
600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.008202,0.0,0.0,0.0,0.005936,0.004355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666,0.0,0.003983,0.009554,0.012348,0.0,0.0,0.0,0.0,0.0,0.003021,0.005909,0.0,0.007237,0.007463,0.004874,0.009106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001263,0.012764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004244,0.0,0.009046,0.000646,0.0,0.004157,0.006269,0.0,0.00113,0.0,0.0,0.007794,0.0,0.0,0.0,0.0,0.006728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750.0,0.018793,0.017527,0.017587,0.030417,0.012867,0.019708,0.010886,0.029993,0.023801,0.024089,0.024286,0.011929,0.023889,0.019514,0.030271,0.014135,0.034898,0.024444,0.030144,0.034136,0.033308,0.019145,0.021005,0.020681,0.010829,0.01774,0.02767,0.025577,0.018247,0.025813,0.025274,0.030229,0.029164,0.024561,0.017907,0.007849,0.011489,0.020483,0.01949,0.02552,0.019112,0.013964,0.026566,0.028846,0.015858,0.013937,0.011494,0.011518,0.022335,0.016306,0.022076,0.022251,0.004241,0.008675,0.009635,0.005261,0.028084,0.0,0.01932,0.008296,0.008085,0.010028,0.023263,0.01928,0.010982,0.02374,0.017755,0.023454,0.025374,0.016519,0.022747,0.022824,0.018443,0.024768,0.01197,0.020976,0.028255,0.0,0.01132,0.008687,0.012365,0.021141,0.007466,0.008526,0.018026,0.019838,0.011963,0.016061,0.02013,0.012589,0.015344,0.017675,0.012776,0.015499,0.021082,0.01149,0.019501,0.006246,0.013726,0.012051,0.0,0.020053,0.008215,0.011274,0.010499,0.019478,0.012048,0.0,0.005403,0.0,0.010602,0.0,0.004732,0.011496,0.009095,0.005485,0.009921,0.001993,0.000699,0.001186,0.008476,0.001314,0.0,0.004202,0.009348,0.005938,0.005561,0.005967,0.001932,0.0,0.0,0.005527,0.0,0.000941,0.000319,0.0054,0.0,0.004532,0.003189,0.005765,0.00214,0.000842,0.006041,0.0,0.0,0.0,0.0,0.001436
2000.0,0.035164,0.0376,0.025367,0.035478,0.022807,0.03122,0.027661,0.036496,0.025484,0.035924,0.037719,0.029082,0.030854,0.031849,0.04338,0.02128,0.035629,0.041637,0.038647,0.041233,0.034523,0.037166,0.033868,0.037137,0.02804,0.02886,0.035566,0.031802,0.030007,0.027343,0.027979,0.039858,0.034086,0.03882,0.033911,0.027837,0.018224,0.028913,0.031338,0.043,0.029296,0.033905,0.035397,0.029072,0.022125,0.029986,0.02994,0.029168,0.03323,0.033957,0.035709,0.029009,0.019677,0.023977,0.028148,0.029121,0.042134,0.013202,0.043124,0.025363,0.025914,0.029218,0.038908,0.034249,0.028132,0.024338,0.029119,0.021589,0.036188,0.026665,0.028121,0.027105,0.032201,0.034519,0.027312,0.031126,0.039335,0.018825,0.027763,0.024706,0.029503,0.025451,0.020968,0.021678,0.02312,0.034756,0.027425,0.026036,0.036229,0.0259,0.025507,0.030344,0.019142,0.02924,0.026294,0.027315,0.034344,0.030323,0.028832,0.025156,0.017055,0.033771,0.014626,0.023845,0.027632,0.030386,0.030593,0.020642,0.024802,0.02711,0.025219,0.020989,0.017332,0.019603,0.024332,0.017205,0.016541,0.012481,0.013425,0.022957,0.028033,0.022761,0.00882,0.016385,0.01816,0.024194,0.019306,0.028772,0.016188,0.01609,0.018618,0.022339,0.015625,0.015741,0.021166,0.019024,0.006972,0.02422,0.019215,0.024033,0.024382,0.017382,0.016004,0.015508,0.015793,0.012737,0.017448,0.018784
2250.0,0.036732,0.044089,0.034773,0.0405,0.033793,0.041136,0.034512,0.038993,0.029653,0.040691,0.047961,0.035233,0.036639,0.039669,0.042521,0.03322,0.039067,0.051638,0.03999,0.03985,0.029469,0.046384,0.036509,0.047822,0.033433,0.036063,0.030705,0.034105,0.03666,0.030875,0.031085,0.041329,0.032704,0.042809,0.045562,0.040339,0.029675,0.033729,0.038164,0.054579,0.031789,0.043099,0.033772,0.034408,0.030442,0.034298,0.029542,0.042861,0.03119,0.04407,0.039214,0.035463,0.024651,0.032238,0.040934,0.042631,0.041419,0.02651,0.040366,0.035767,0.03153,0.037326,0.03608,0.040842,0.033407,0.0155,0.036387,0.022784,0.035185,0.024653,0.025903,0.027384,0.03268,0.03251,0.028452,0.035069,0.037735,0.031936,0.03193,0.030837,0.032806,0.028877,0.031266,0.02588,0.024069,0.037681,0.029293,0.024893,0.039032,0.032213,0.028327,0.031075,0.021619,0.024319,0.025312,0.035252,0.037257,0.040659,0.02979,0.02666,0.030146,0.031973,0.018798,0.030792,0.027084,0.031704,0.03396,0.030054,0.029384,0.03444,0.028811,0.026427,0.019177,0.016071,0.028586,0.019433,0.0179,0.01526,0.018159,0.032226,0.036963,0.027127,0.018928,0.021092,0.018192,0.033234,0.022984,0.032106,0.017002,0.022843,0.024519,0.023078,0.025066,0.015895,0.031787,0.021959,0.015105,0.02357,0.019055,0.019955,0.029991,0.020076,0.013223,0.019372,0.021004,0.017441,0.016675,0.019244
