Height,2013/05/15 03:56:38,2013/05/15 03:57:38,2013/05/15 03:58:38,2013/05/15 03:59:38,2013/05/15 04:00:38,2013/05/15 04:01:38,2013/05/15 04:02:38,2013/05/15 04:03:38,2013/05/15 04:04:38,2013/05/15 04:05:38,2013/05/15 04:06:38,2013/05/15 04:07:38,2013/05/15 04:08:38,2013/05/15 04:09:38,2013/05/15 04:10:38,2013/05/15 04:11:38,2013/05/15 04:12:38,2013/05/15 04:13:38,2013/05/15 04:14:38,2013/05/15 04:15:38,2013/05/15 04:16:38,2013/05/15 04:17:38,2013/05/15 04:18:37,2013/05/15 04:19:38,2013/05/15 04:20:38
600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,0.015252,0.007144,0.00972,0.007061,0.012101,0.00311,0.005179,0.00877,0.007115,0.0,0.011803,0.00696,0.011642,0.016434,0.008516,0.000703,0.009192,0.005623,0.013366,0.013805,4.5e-05,0.013826,0.014404,0.010124,0.009201
2250.0,0.017552,0.021176,0.017043,0.007942,0.017082,0.008636,0.012664,0.015558,0.017103,0.0,0.017538,0.014653,0.020023,0.019361,0.009664,0.006046,0.01484,0.012468,0.018684,0.016217,0.009555,0.023103,0.02035,0.020941,0.01259
2500.0,0.026797,0.037262,0.028398,0.018071,0.031527,0.023964,0.025092,0.0324,0.032515,0.013781,0.022118,0.027067,0.03722,0.030121,0.021677,0.020757,0.026902,0.022007,0.03198,0.02878,0.026033,0.029492,0.036098,0.030126,0.022925
2750.0,0.03643,0.050207,0.03983,0.024787,0.044684,0.037218,0.036238,0.046879,0.044727,0.025573,0.02761,0.036288,0.05328,0.041653,0.030729,0.032101,0.038192,0.031307,0.042521,0.039476,0.03914,0.037194,0.050477,0.037216,0.031096
3000.0,0.04292,0.064279,0.049158,0.029208,0.055324,0.046011,0.04635,0.05766,0.056575,0.03652,0.034835,0.044132,0.063749,0.049569,0.036454,0.041617,0.048652,0.039808,0.050552,0.044534,0.051436,0.047007,0.060323,0.047234,0.036467
3250.0,0.045705,0.060397,0.053503,0.026012,0.053417,0.050498,0.045419,0.05431,0.048855,0.036509,0.032653,0.041804,0.063415,0.04635,0.032851,0.040425,0.04275,0.041809,0.048206,0.044835,0.052131,0.042987,0.061054,0.038032,0.033706
3500.0,0.048158,0.058415,0.054401,0.025034,0.054094,0.051263,0.045932,0.053463,0.048442,0.035163,0.034088,0.040841,0.064168,0.049253,0.033913,0.039685,0.042676,0.043015,0.047395,0.046379,0.050936,0.043722,0.062127,0.036086,0.032731
3750.0,0.054478,0.055154,0.058434,0.032264,0.055286,0.059647,0.045811,0.053132,0.043052,0.041842,0.033221,0.040429,0.063958,0.048408,0.038691,0.044133,0.040571,0.045285,0.047597,0.050779,0.054428,0.03834,0.063144,0.031099,0.036644
4000.0,0.053199,0.055108,0.058022,0.032804,0.054429,0.060686,0.045395,0.054,0.042243,0.044953,0.031247,0.039405,0.063727,0.046333,0.037421,0.045162,0.040757,0.044441,0.046552,0.049892,0.055586,0.035516,0.061967,0.029688,0.036588
4250.0,0.045502,0.047373,0.051042,0.027158,0.045596,0.052312,0.038513,0.045915,0.034812,0.03704,0.026783,0.033917,0.055028,0.038169,0.030634,0.037788,0.033633,0.03879,0.040057,0.042761,0.047635,0.029728,0.053175,0.024843,0.031274
4500.0,0.033601,0.037172,0.03781,0.023264,0.033741,0.040446,0.028724,0.03485,0.026459,0.030015,0.019285,0.026659,0.040549,0.026805,0.024121,0.029964,0.025126,0.028788,0.030542,0.032471,0.037439,0.021158,0.039221,0.02059,0.025518
4750.0,0.027189,0.032493,0.031592,0.019331,0.0294,0.03414,0.024982,0.030264,0.02321,0.027835,0.015717,0.022575,0.033922,0.022263,0.020129,0.026548,0.022366,0.02424,0.02578,0.025841,0.033098,0.018269,0.033112,0.01786,0.021213
5000.0,0.018561,0.023274,0.022533,0.012724,0.021565,0.02399,0.018296,0.02235,0.016671,0.020731,0.01059,0.015665,0.024291,0.015471,0.013199,0.019111,0.01634,0.017099,0.018421,0.017082,0.02408,0.013061,0.023823,0.012118,0.014431
5250.0,0.016305,0.020115,0.019963,0.010783,0.018857,0.020716,0.01638,0.020346,0.014933,0.01824,0.010234,0.013306,0.022247,0.014835,0.010902,0.016431,0.015801,0.015302,0.015685,0.015046,0.020417,0.012654,0.020759,0.011077,0.012945
5500.0,0.009275,0.011359,0.011672,0.004958,0.011654,0.011757,0.010046,0.012152,0.009043,0.009954,0.005653,0.008117,0.013594,0.009408,0.00626,0.009329,0.009097,0.009123,0.009731,0.008896,0.011693,0.007783,0.0133,0.005464,0.00688
5750.0,0.002585,0.00236,0.00334,0.001366,0.002811,0.003498,0.002388,0.003272,0.001633,0.002608,0.000967,0.001898,0.003784,0.002008,0.001309,0.002355,0.001836,0.002274,0.002569,0.002611,0.002961,0.001068,0.003555,0.000356,0.001812
6000.0,0.001983,0.00157,0.002489,0.001127,0.002068,0.00269,0.001723,0.002281,0.001051,0.001918,0.000637,0.001499,0.002688,0.001393,0.001157,0.001801,0.001125,0.001715,0.001985,0.002044,0.002205,0.000608,0.002674,5.1e-05,0.001372
6250.0,0.000921,0.000806,0.001255,0.000558,0.0008,0.001352,0.000787,0.000765,0.000249,0.001149,0.000355,0.000693,0.000876,0.000263,0.000405,0.00092,0.000296,0.000915,0.000786,0.000725,0.001235,0.000263,0.001024,8e-06,0.000563
6500.0,0.00022,0.000104,0.000259,0.00017,0.000157,0.000323,0.000143,0.00014,2e-06,0.000259,4.8e-05,0.000135,0.000175,5.4e-05,0.000129,0.000209,3.1e-05,0.000182,0.000149,0.000185,0.000246,6e-06,0.0002,0.0,0.000145
6750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
