Height,2012/10/22 01:47:38,2012/10/22 01:48:38,2012/10/22 01:49:38,2012/10/22 01:50:38,2012/10/22 01:51:38,2012/10/22 01:52:38,2012/10/22 01:53:38,2012/10/22 01:54:38,2012/10/22 01:55:38,2012/10/22 01:56:38,2012/10/22 01:57:38,2012/10/22 01:58:38,2012/10/22 01:59:38,2012/10/22 02:00:38,2012/10/22 02:01:38,2012/10/22 02:02:38,2012/10/22 02:03:38,2012/10/22 02:04:38,2012/10/22 02:05:38,2012/10/22 02:06:38,2012/10/22 02:07:38,2012/10/22 02:08:38,2012/10/22 02:09:38,2012/10/22 02:10:38,2012/10/22 02:11:38
600.0,-57.36756773298449,-58.03241245642449,-58.413999384125155,-58.20513140863073,-58.884220169517384,-58.36645570551704,-58.47791293657346,-58.59170711040917,-58.20617975439815,-59.04939500101704,-59.70541300238105,-60.59528820528772,-61.84240203445124,-62.42194653233944,-63.073488679102304,-63.10155443545145,-63.73168866558321,-63.48769825977113,-63.00739377604708,-63.27274167347177,-62.31693839378261,-61.843264817743716,-61.50307797769232,-61.47177034162634,-61.82744304850265
700.0,-57.71918141707219,-57.96400766105788,-58.662819540258866,-58.639729976262466,-59.755583648446425,-59.827658524474444,-59.230177999529374,-59.48577558818017,-59.55348347830942,-60.281839826347756,-60.70160263190434,-60.728989052011904,-60.80735494414332,-60.9438339096482,-61.390960495511145,-61.395444999356364,-61.62631105684907,-61.54452536325162,-61.801903690041335,-62.03853827244849,-61.684091590649146,-61.46778021258762,-60.95557443250092,-60.00248831978449,-59.65208915758556
800.0,-57.85440117325512,-58.04834792896164,-57.93599331576094,-57.64212139422586,-58.07216636362175,-58.31205561338645,-58.74043990571566,-59.49526604608126,-59.49334206779379,-59.60877629012767,-59.8165797089311,-59.7568744032449,-60.07298318117824,-60.18602783461159,-60.25902964930543,-60.14551431283892,-60.24525518930921,-60.2679997827731,-60.10385840829002,-59.92025279981335,-59.94290466181313,-59.9058311811661,-59.96722648755572,-60.086285233031255,-59.90712605198868
900.0,-58.41223292613826,-58.66116672065,-58.411955345919885,-58.33237556249873,-58.561974612612,-58.67521543606496,-59.05891220072506,-59.32689580466715,-59.40554790392892,-59.275168367692864,-59.121189683365806,-59.05989341166427,-59.12875255153931,-58.86945097335395,-59.08138260127388,-59.17828361988509,-59.285910645324805,-59.61725900888218,-59.35451930503483,-59.366558677338176,-59.195671176788835,-58.94079550006399,-59.100623974330944,-59.09707897806814,-59.04136095083855
1000.0,-57.10740986334968,-57.40923107300383,-57.42300913527402,-57.55788028396455,-58.05165067781457,-58.046917943926324,-58.117954899106955,-58.141988044969104,-58.101457801017006,-58.307747896190094,-58.53169625476914,-58.467776220509236,-58.45916603477502,-58.13218060721495,-58.12027336651513,-58.21525511079431,-57.95861588091727,-58.08169494115941,-57.98883246743832,-57.84536975673241,-58.19566694780188,-58.435904416096655,-58.5811044334609,-58.44448490269124,-58.26661702460942
1250.0,-56.154898476523485,-56.12955335252983,-56.22355017955019,-56.18620297962907,-56.29810411140584,-56.22301458370688,-56.211900484131235,-56.16698105313488,-56.18580664634509,-56.31657641503791,-56.40222861753632,-56.39666158627699,-56.44260372960373,-56.450566612874326,-56.28088894865817,-56.215544791415475,-56.24162569327227,-56.1431599348927,-56.15771304557509,-56.22591108891108,-56.28342360294571,-56.594500278482556,-56.468380902283535,-56.699341246472834,-56.68723554092964
1500.0,-55.58124369993323,-55.57229648158326,-55.34400364149193,-55.29123874441284,-55.259918244440875,-55.21425730889052,-55.10080647415929,-54.95513411614344,-55.00525573128842,-55.03927316478953,-55.314283429187654,-55.29338629283491,-55.22361376707403,-55.03199378944006,-55.052535665788,-54.92046418788267,-54.92879918627135,-54.92786372059299,-54.87140440702546,-55.04764675817756,-55.30803515011168,-55.33354867256637,-55.30420922587047,-55.355773036563356,-55.133737795492
1750.0,-53.87024433899435,-53.70685756204582,-53.800162960163,-53.96826157900069,-53.983336347560495,-53.99516777239853,-53.956486522024974,-53.69014484091405,-53.704956607495056,-53.831798657183235,-53.78428623513237,-53.78874669774668,-53.52426374195602,-53.55749186141494,-53.66474631920787,-53.738336247086245,-53.99965758379553,-54.02532955550198,-53.95915107306488,-53.991381056443565,-53.950117107081695,-53.81283806753717,-53.72049673040823,-53.67839252852408,-53.61544491978608
2000.0,-52.67105607476639,-52.71812765255637,-52.8087777216469,-52.74287460381956,-52.651930148243615,-52.70058590941768,-52.520309769150934,-52.46337910376226,-52.48521671059988,-52.3282493010624,-52.40573344516338,-52.54974526719387,-52.62086804057833,-52.62916311206967,-52.565296509305846,-52.35964091202065,-51.09067676442154,-50.718069851756354,-50.2032558008379,-50.19459045393861,-51.20746886113639,-51.405312546522204,-51.61957158216856,-51.519709460567285,-51.42453567894447
2250.0,-45.95498464035963,-45.55184925270808,-46.12460228060229,-46.15276653491433,-46.22097116389356,-46.832775586237105,-44.94261056322591,-42.097946606100464,-39.18697061343217,-36.02184635307714,-34.32670193054809,-34.27493505070428,-34.153814117506435,-33.78748383240693,-33.363344988345,-32.92360433244917,-32.4278930351258,-32.305199059561154,-32.1177842617153,-31.950282342657335,-31.9349832085319,-31.70312447139881,-31.545969573199667,-31.375156811025224,-31.301682078705603
2500.0,-51.22281617156208,-51.13426102253986,-51.117777469057856,-51.272388906948414,-50.894331574282965,-50.57250790797989,-50.49421231727775,-50.08003518651651,-50.181906781691865,-50.472047567697075,-50.46983481108711,-50.67396844795911,-50.631608475117844,-50.54076883137631,-50.71799141305217,-50.634853045439925,-50.74823606187561,-50.71996048179177,-50.64592313889783,-50.73268574766355,-50.83504478537756,-50.75840650070302,-50.58099561657429,-50.443289473684224,-50.16776305662452
