Height,2012/10/24 17:45:38,2012/10/24 17:46:38,2012/10/24 17:47:38,2012/10/24 17:48:38,2012/10/24 17:49:38,2012/10/24 17:50:38,2012/10/24 17:51:38,2012/10/24 17:52:37,2012/10/24 17:53:37,2012/10/24 17:54:38,2012/10/24 17:55:38,2012/10/24 17:56:37,2012/10/24 17:57:38,2012/10/24 17:58:37,2012/10/24 17:59:37,2012/10/24 18:00:37,2012/10/24 18:01:38,2012/10/24 18:02:38,2012/10/24 18:03:38,2012/10/24 18:04:38,2012/10/24 18:05:38,2012/10/24 18:06:38,2012/10/24 18:07:38,2012/10/24 18:08:38,2012/10/24 18:09:38,2012/10/24 18:10:37,2012/10/24 18:56:37,2012/10/24 18:57:38,2012/10/24 18:58:38,2012/10/24 18:59:38,2012/10/24 19:00:38,2012/10/24 19:01:37,2012/10/24 19:02:37,2012/10/24 19:03:38,2012/10/24 19:04:37,2012/10/24 19:05:38,2012/10/24 19:06:38,2012/10/24 19:07:38,2012/10/24 19:08:37,2012/10/24 19:09:38,2012/10/24 19:10:38,2012/10/24 19:11:38,2012/10/24 19:12:37,2012/10/24 19:13:38,2012/10/24 19:14:37,2012/10/24 19:15:37,2012/10/24 19:16:38,2012/10/24 19:17:37,2012/10/24 19:18:37,2012/10/24 19:19:37,2012/10/24 19:20:38,2012/10/24 19:21:37,2012/10/24 20:07:38,2012/10/24 20:08:38,2012/10/24 20:09:38,2012/10/24 20:10:38,2012/10/24 20:11:38,2012/10/24 20:12:38,2012/10/24 20:13:38,2012/10/24 20:14:38,2012/10/24 20:15:38,2012/10/24 20:16:38,2012/10/24 20:17:38,2012/10/24 20:18:38,2012/10/24 20:19:38,2012/10/24 20:20:38,2012/10/24 20:21:38,2012/10/24 20:22:38,2012/10/24 20:23:38,2012/10/24 20:24:38,2012/10/24 20:25:38,2012/10/24 20:26:37,2012/10/24 20:27:38,2012/10/24 20:28:38,2012/10/24 20:29:38,2012/10/24 20:30:38,2012/10/24 20:31:38
600.0,-64.5730938898191,-64.20391212960803,-64.22288542812741,-64.00889201175762,-63.95839859650382,-64.29854521537644,-64.4566346786651,-64.6432167163215,-64.42861072905876,-64.5578377683653,-64.42571750202409,-64.12839893385639,-64.27180570663104,-63.734347180877556,-63.428159058361594,-63.73698953260666,-63.67505016131111,-64.10096556668302,-64.36857519812068,-64.1586108058313,-64.31910228168695,-64.22612642203165,-64.16455737203725,-64.53145987738748,-64.81167333546185,-64.95951938975213,-64.6730574357936,-64.2126624290088,-63.95008023423439,-63.64598629208195,-63.57191291463756,-64.0349806226593,-64.35545285572917,-64.60567881913288,-64.66973297584761,-64.32435474073807,-63.97042205790266,-63.27762662375214,-63.28638766845743,-63.666758133218465,-63.457521475206505,-63.56625205897956,-63.52769669685839,-63.11471528191224,-63.67207334753184,-63.655036285900046,-64.05217288244003,-64.02423477751057,-63.79501619863521,-63.91446542709119,-63.85782625520005,-63.984631492243956,-64.64468635496765,-64.17652713019133,-63.92056896110774,-63.47983638640619,-63.08304177385326,-63.121856286219106,-63.33741880940133,-63.40985355221332,-63.90470520398355,-63.540390801296994,-63.63367551479473,-64.15248442952806,-64.34935283830077,-64.51368310417233,-64.27803598524466,-63.41495770511851,-63.02390033710396,-62.94818141865253,-63.11110875826672,-63.62200313283956,-63.77877970215087,-64.25050611212815,-64.22754153257598,-63.712721050493194,-63.57448701505709
700.0,-62.39620775804489,-62.60813612925803,-62.47725553005943,-62.445431885167764,-62.22401680885092,-62.07466644407612,-61.714052770045186,-61.63640456704593,-61.7182645092022,-61.539149678340536,-61.89014399495875,-62.031264894769734,-62.065421494601495,-61.916029882777906,-61.82635175471058,-61.72728666379506,-61.57337816990359,-61.693507460186396,-61.81971387064225,-61.87465509195939,-62.052354480103624,-62.03826493636058,-62.051781540138705,-61.88017807174925,-61.80715666920452,-61.906728480787855,-61.35808837901376,-61.52043857767206,-61.52506330619627,-61.464335154009696,-61.574960018904726,-61.61014028580429,-61.27912646829288,-61.2982261985953,-61.434108112620095,-61.57073630903241,-61.91590953053271,-61.660494912874725,-61.797334075164194,-61.57602472370788,-61.72785731919868,-61.924777843585346,-61.830432619021984,-61.87074191030943,-61.91241272718572,-62.25871009368608,-62.392048950472294,-62.49260620944361,-62.59701353841368,-62.29921178673557,-62.08639415315572,-61.965665033442214,-62.313634178011306,-61.530525335199876,-61.57461546089234,-61.43177676872824,-61.22722389732426,-61.68524635765022,-61.65421347180843,-61.667401725355035,-61.71762773251014,-61.68017383171608,-61.7163628689711,-61.67417803143605,-61.764443351639784,-61.70098683162501,-61.562661234653305,-61.859538418990475,-61.86168248668479,-61.561560849678976,-61.801510394709325,-61.82021911131852,-61.74641296249766,-61.91837854313989,-61.93463275781616,-61.945010374595704,-62.21852030788705
800.0,-59.957075320468824,-60.136034933504426,-60.17206239645186,-60.302566878447436,-60.45367563643906,-60.37884234154505,-60.407904440278706,-60.26461632985154,-60.09007039869657,-60.10368483753503,-60.16585569395089,-60.30385284370875,-60.594127753552065,-60.656395867861676,-60.65213184465864,-60.589497852279926,-60.51927997328915,-60.600931137354394,-60.552734528239455,-60.76347391265871,-60.795931939594816,-60.754654017893046,-60.839104208570014,-60.778541092088126,-60.81842351843211,-60.81504182308243,-60.39603131740902,-60.387401847193935,-60.45957008699422,-60.64267296425254,-60.51924398259489,-60.59474595881642,-60.57203571371104,-60.51833930387543,-60.54429416946913,-60.51574518109046,-60.480620509629816,-60.52466246295832,-60.61591878148297,-60.63814616860299,-60.5031384033087,-60.459782141019645,-60.436116028731966,-60.11956488245613,-60.04385071251664,-59.88486927823043,-60.08404189663216,-60.410082446925166,-60.65275645612228,-60.521041462762874,-60.24694386473527,-60.19252063094782,-60.70823361196209,-60.54711047441281,-60.25113483972864,-60.368061667683705,-60.21169494398377,-60.14355170680928,-60.085102819356194,-60.13102741583609,-60.175839198184526,-60.25104267122936,-60.51077947680981,-60.46497053814646,-60.11815030052129,-60.23294428130078,-59.764278509018965,-59.768128787391184,-59.92579681641912,-59.599785412006995,-60.30682875681849,-60.27526996661761,-60.29376520254772,-60.64260239060984,-60.30703638550531,-60.22039544145333,-60.24970723931935
900.0,-59.2105639153468,-59.19877902181522,-59.01030321678864,-58.97342827372765,-59.02594649644439,-59.18243811648192,-59.55583070381517,-59.74111826020719,-59.89252628384098,-59.89325407707861,-59.798769192880016,-59.594557402105394,-59.428126353645425,-59.490096995832495,-59.3898997598436,-59.498489239463794,-59.61154140988303,-59.48571860479957,-59.54126435103757,-59.423194176710055,-59.39182743736625,-59.50189469725008,-59.503231815292786,-59.60353195850162,-59.55555278384949,-59.424636602335966,-59.36821645726762,-59.40609171380443,-59.309850424555,-59.38090558207799,-59.45847213547588,-59.44659247759556,-59.62511013202564,-59.71595660688144,-59.68151034442531,-59.66028955334604,-59.40380067083846,-59.35753835584747,-59.51268398801902,-59.541688945523255,-59.57991386984454,-59.462184516473826,-59.26412527569386,-59.291812126892665,-59.46014307165848,-59.46440328280112,-59.420614329734356,-59.21453462874555,-59.19998013009959,-59.27355993076245,-59.32370559019471,-59.51392065074448,-59.06967857432693,-59.12672873230673,-59.446125789690946,-59.63316543427018,-59.642083424068005,-59.726328509438396,-59.451034311672686,-59.46243603902192,-59.28093949292269,-59.31879585890853,-59.451720074502134,-59.42587924309317,-59.54885173751948,-59.69385657191818,-59.67158230485786,-59.58203264035273,-59.70993436931793,-59.619469622427474,-59.49193737630139,-59.65299899294466,-59.5537258017557,-59.40426847697334,-59.55576066825432,-59.248742934091744,-59.11702876276895
1000.0,-58.88740155543648,-58.45145908374214,-58.54918263759862,-58.52480524559923,-58.242439970292104,-58.526308961409256,-58.60216793731726,-58.52784430309237,-58.91726530709208,-58.614504369336174,-58.310071053372326,-58.216604189184345,-58.14526129086821,-58.348625413817246,-58.241094682599126,-58.35950427350431,-58.00751216683181,-57.99160290250901,-58.45871703232531,-58.10301219099632,-58.23879177440013,-58.12225428315974,-57.79896952250925,-58.12103592054707,-58.26897745730826,-58.46555650618666,-57.656112453887964,-57.86512965969885,-57.87629088247072,-57.93297793470252,-58.14933541168788,-58.14752257739921,-58.16987882101346,-58.469350445318916,-58.28552686489623,-58.275153013614116,-58.593526626297475,-58.649949328877135,-58.81873390473112,-58.77998045627969,-58.465954360052436,-58.44690482693359,-58.440852856090416,-58.43389845467945,-58.20396763277214,-57.91676691882439,-57.89212950970205,-57.93995388688239,-58.36724998352889,-58.28890054444506,-58.29817440993605,-58.268442717292054,-58.6103474147649,-58.456203307638376,-58.474313392808995,-58.544214855144105,-58.41508272689703,-58.53825772195573,-58.543564965051324,-58.53235517103001,-58.706895782796984,-58.60795347959678,-58.66556216795741,-58.67452073862443,-58.44617518672247,-58.46980235241526,-58.48400318367447,-58.54324600681441,-58.83156160138224,-58.74162987216974,-58.52610970688445,-58.42522125192416,-58.107415772734655,-58.14659727837371,-58.05660431819832,-58.088148104294056,-58.209148591173076
1250.0,-56.142291786644726,-56.224558916083915,-56.14829441201001,-56.186536489151884,-56.29896945789255,-56.45422859898721,-56.7109064383892,-56.70865118642042,-56.75802352732015,-56.69237307991156,-56.4532003466619,-56.42497048713996,-56.3896261755486,-56.36578394019772,-56.65097232939475,-56.62919156057622,-56.61087515071136,-56.58770205008664,-56.484981232442756,-52.81845370147097,-50.7949520737883,-50.75433650831927,-50.78802580178443,-54.325330238726806,-56.047790504232616,-55.926021500887174,-56.87475814751286,-56.91461453180967,-56.92390684315685,-56.95776630207395,-56.960799234953065,-56.95984011714781,-56.61676718109475,-56.51393766062997,-56.39935802990114,-56.36514356583585,-56.8157088637858,-56.79330243261012,-56.62915223238298,-56.49180527165143,-56.25895762357303,-56.30009497340265,-56.55020184089417,-56.76900687243792,-56.87298571513953,-56.641872332795394,-56.46457113576079,-56.408146733608305,-56.29467599067599,-56.535509234355416,-56.26356011010265,-56.18591311718584,-56.436884919428394,-56.51944634032632,-56.55802010489511,-56.491893610662835,-56.3819744187436,-56.39780246249476,-56.286839698762755,-56.17644360767436,-56.42311786504092,-56.36945992469068,-56.42015283007592,-56.48463779809933,-56.31053021337635,-56.247712683867874,-56.235447190740295,-56.41406142994936,-56.56699897516276,-56.5987941282855,-56.68666614420064,-56.6254433685972,-56.54251849859544,-56.55794841910228,-56.37890812635642,-56.23178526645767,-56.17406958388144
1500.0,-55.295670973062116,-54.84667076518692,-54.84499176884165,-55.054839563862934,-54.97488387650772,-55.1946533395102,-55.34053522800518,-55.02329313443565,-55.12015630445112,-55.27387500998482,-55.261857496605174,-52.41510296214162,-45.70740136561393,-35.39067159805026,-24.62422092732839,-17.69568842559309,-13.891219507331602,-14.043200233644848,-12.582907993849341,-10.464548171124717,-10.558324083548177,-11.661936086045765,-13.754191969465026,-15.000083689171763,-15.12105031972455,-13.959816431859393,-49.293609857168036,-48.51265409163435,-47.86150723881839,-46.67945814362169,-44.27479930505629,-45.349661834012295,-46.03827944730906,-46.30650990494448,-43.825168627135014,-39.95735262401152,-33.530494308650844,-28.607467788960786,-26.693301142263742,-26.69981621934659,-28.543223799824247,-31.781676112309288,-32.831642623212716,-31.434845431840156,-35.16376397875229,-34.948868240274784,-33.80703762487915,-34.15167104001918,-30.410367621215745,-28.51228169182841,-31.45076595744681,-30.998974688473524,-55.05291339902475,-55.04141196261681,-54.935441184399686,-54.90142341640708,-54.87627514178449,-55.07073632079237,-54.665736540458525,-53.83975858694785,-53.68529688872915,-53.553709381739765,-53.97759968847351,-55.02867088026199,-54.979476735362255,-54.526220351272976,-51.058946422816604,-49.91626641556557,-47.69942744924266,-45.21974341363198,-48.28121886077989,-49.28702006949436,-48.25312467050085,-50.86662325265596,-48.294808793909105,-47.67283016435705,-50.434398167854184
1750.0,-53.566604963663806,-52.508345658508176,-51.96543993926564,-51.31060801306954,-51.078961090191854,-51.5595710151917,-51.24621985772847,-51.29592720100412,-49.51782689344554,-45.44696242503939,-41.261709840017524,-35.02218764568764,-27.03287916566193,-19.002679036050143,-12.364636679537414,-7.390768585669311,-3.94995434239008,-3.930834768686868,-3.0103662860199623,-3.7277043885981826,-7.315911585081587,-9.203464165260034,-10.21611966079898,-10.033065814645125,-8.179519332597227,-7.074167734752808,-26.064830452566294,-25.565427369378597,-24.347791604229105,-23.294302970533735,-21.608139601139587,-22.441509632817326,-23.04254987541195,-22.216046620046612,-20.473171581866414,-16.502427081465544,-12.448428069651147,-10.29794585300739,-10.713039288346982,-11.053831763393301,-13.283148002709545,-14.42596142091527,-14.13897887354811,-15.502509886665065,-16.199207259976482,-16.278747044408576,-15.649408383570444,-14.173062779670476,-13.439996523419598,-12.477070358416515,-13.648159150424046,-13.989810715547078,-30.179871541501967,-32.66147577311576,-31.644989958759194,-33.734446357061756,-34.10837887753273,-33.344831928755006,-32.484091028629486,-30.030627836550906,-29.169336441336444,-29.831445321060706,-30.749325045325048,-32.871064491064494,-36.863324208554985,-34.10198991238647,-31.70199344907966,-30.378936259143156,-24.36951079093322,-23.62307414998794,-27.032903424162047,-26.09257800888571,-28.995422309883853,-30.61417942741019,-28.4277123221606,-31.683821959649553,-30.942771261741548
2000.0,-41.9205438885835,-44.526104556074785,-44.90420517877051,-43.400631280453695,-41.42486620337087,-37.90133322591041,-35.4476179503706,-33.975316878344906,-32.221060351655325,-29.67625385414171,-26.21446641105517,-23.888535719942983,-20.221024564937164,-15.216744134708343,-11.034613994521425,-6.883973996325586,-4.237680525136967,-4.994652079079802,-5.923726557872038,-9.336073011440545,-12.043552876248794,-12.661226176281023,-12.771901272961653,-11.866274782468578,-11.495535110673881,-12.276019291393503,-18.003532533944636,-18.18033188967404,-16.736051218291056,-15.61149195622653,-15.470893745506832,-15.029988880901033,-14.971090138575569,-13.687339715632238,-12.409206727360623,-9.796274990015176,-9.073205136192986,-8.493011750139784,-7.9549498602124755,-8.812086308810606,-9.437809729211601,-10.963386157041299,-12.057035074686484,-14.606768949403795,-14.12352546529275,-12.044131071171815,-10.629960115130519,-9.143283868439974,-7.574520910535985,-6.237379927230611,-5.9181312268840705,-2.400729096573208,-27.98231491263714,-26.361251214953274,-24.980179726815233,-24.09472849269111,-21.79621703011421,-19.317789168463936,-18.356608954389323,-18.596145019570255,-20.999084391724583,-24.41801476955028,-25.38530681364326,-27.35809249940091,-27.012883441169418,-23.40074925878183,-23.226535272317115,-23.8971636964228,-21.3171529165324,-23.544012004511764,-25.330012246213336,-22.154252336448604,-28.140913251857178,-26.4725227254573,-27.63801595230423,-31.048692152755414,-28.04037235125381
2250.0,-24.41983536724713,-24.475769026806535,-24.519980004704784,-24.68072565895643,-24.660456876456877,-24.741628868258182,-24.480110863274664,-24.133433805510737,-23.43406424084391,-22.312917896917885,-21.050409240332307,-19.616457943186752,-17.073320544972272,-15.317406591110041,-12.496405507997746,-10.956503235510926,-11.689327029579609,-12.64770424760424,-16.2091460203614,-19.622967727674624,-19.78562205208584,-19.485091005546177,-19.28755716582268,-18.90436451651796,-19.786507545086486,-21.562533764742707,-23.272975810353174,-21.055016032747748,-19.64139729020979,-19.25030548084393,-18.168496644950483,-17.805414504014514,-16.79967526324251,-14.50428719343335,-11.104532429065191,-8.649589873089875,-8.517380963480967,-7.37900589735621,-6.852830284621363,-5.964888058354754,-5.487761823620824,-5.9509989427410215,-7.753968964536887,-10.076105548187446,-8.493385179829856,-7.524054986775049,-5.083839480974202,-5.061612948642244,-5.434226848963002,-5.685436718865176,-6.222856947130886,-4.187240087942361,-21.422614472484042,-19.40203606216006,-16.921370219203876,-15.30065878708187,-13.144285225031387,-11.916830145637839,-11.16297070906302,-10.187787239256465,-12.684048953041259,-13.599000607654457,-15.901129235152318,-19.157860715637643,-17.796430382722694,-17.577793127562096,-18.634905057873166,-19.55957731090747,-21.988473856603157,-24.740361888111885,-21.653248208142433,-19.1459115838862,-18.21709649214035,-15.604805883888192,-16.926275369745195,-18.563931118881115,-18.88999176302247
