Height,2013/05/15 03:56:38,2013/05/15 03:57:38,2013/05/15 03:58:38,2013/05/15 03:59:38,2013/05/15 04:00:38,2013/05/15 04:01:38,2013/05/15 04:02:38,2013/05/15 04:03:38,2013/05/15 04:04:38,2013/05/15 04:05:38,2013/05/15 04:06:38,2013/05/15 04:07:38,2013/05/15 04:08:38,2013/05/15 04:09:38,2013/05/15 04:10:38,2013/05/15 04:11:38,2013/05/15 04:12:38,2013/05/15 04:13:38,2013/05/15 04:14:38,2013/05/15 04:15:38,2013/05/15 04:16:38,2013/05/15 04:17:38,2013/05/15 04:18:37,2013/05/15 04:19:38,2013/05/15 04:20:38
600.0,-63.821505191320604,-64.34798724077311,-64.41370933187788,-64.70230609697245,-65.12748485229193,-64.98819251733792,-64.90104799507618,-65.03798696035204,-64.44594128236282,-64.06928725102539,-64.0096893978673,-63.57649539413423,-63.787791099987246,-64.15503405379035,-64.37154081438051,-64.6022688478888,-64.32000320064134,-64.27584903316387,-64.19936043819301,-63.81382800513299,-64.22407313083887,-63.80234504604454,-63.49542972072306,-63.42185121325247,-63.23134222312009
700.0,-62.895967485501,-62.737462810231285,-62.7063636174255,-62.56142480387346,-62.55322928756315,-62.6790945500185,-62.46631273834615,-62.321371164336156,-62.383207942459016,-62.40649811708456,-62.57109196393079,-62.828227180225,-62.88728141729941,-62.856079003520975,-62.89788599484672,-62.726278164646544,-62.667746166210016,-62.4260659061326,-62.40997692153858,-62.48711546196918,-62.31169955098231,-62.57544594646069,-62.51943531814859,-62.38460946209647,-62.47431555375984
800.0,-61.20523285114325,-61.335074564021326,-61.33315146490236,-61.33900725478702,-61.40881369675069,-61.482099835873036,-61.47125523355916,-61.57149206317279,-61.570856219930164,-61.50038777414841,-61.511183076683764,-61.42410990131519,-61.43415386671193,-61.541073855682356,-61.72885906388849,-61.60889528618323,-61.528769490011214,-61.315506684349685,-61.16592995133658,-61.41405304246382,-61.52433208738466,-61.70860670717191,-61.62655615034469,-61.59110354643026,-61.588603820720905
900.0,-60.512505303813064,-60.364911458615936,-60.461196030681315,-60.28641541133725,-60.367480251743885,-60.245994881088386,-60.16038443529054,-60.24582387122471,-60.26029692100988,-60.371184183919915,-60.48600705138179,-60.27847542170024,-60.38585856276248,-60.342217445806654,-60.381310282213036,-60.61517724174513,-60.530188014246356,-60.649005413381815,-60.67750972379619,-60.39630376108258,-60.19680530821755,-59.934929183292546,-59.92758599521036,-60.02591965172016,-60.1512264178323
1000.0,-58.295336707878675,-58.879679601049524,-59.118970029532484,-59.590514725172056,-59.772465850897554,-59.54856625305078,-59.34359245946403,-59.03291451199773,-59.08309648889638,-59.053817793432394,-59.13036670430065,-59.14254081990189,-59.03891929031028,-59.05233729375039,-59.02641600194996,-59.18911507615642,-59.09472276427147,-59.19902678911715,-59.21589248840392,-59.09442324456902,-59.51097267708767,-59.65012696108576,-59.65353532281737,-59.67318588265277,-59.59675769566035
1250.0,-57.41146353646354,-57.20586111562855,-57.27996228771227,-57.13854581316117,-57.27474878967188,-57.45355214612976,-57.36926428743669,-57.45678231251507,-57.37569785387025,-57.413763157894735,-57.44089924889922,-57.43039996114996,-57.44488734901462,-57.37670788302607,-57.475202675585294,-57.53535090550475,-57.45274197597277,-57.505039688381785,-57.41134265734265,-57.280415944055925,-57.30354845154846,-57.168471885257624,-56.98061267977308,-56.98861144310234,-56.90319367218147
1500.0,-55.382984521028035,-55.5436007661378,-55.58830252837117,-55.78590472481829,-55.88540029155685,-55.737103569126674,-55.82202852078636,-55.746715960360966,-55.86227356590399,-55.85788893671095,-55.720631944444456,-55.559830888715844,-55.414991652506394,-55.52800356839422,-55.41760109711501,-55.49967379583037,-55.49974926112308,-55.33783107886537,-55.42134735202491,-55.37025088785047,-55.237185342361265,-55.4785195021934,-55.541601855933706,-55.62093481308413,-55.73590340779577
1750.0,-53.900641441891445,-54.044749091993275,-53.78161525974025,-53.76125146932838,-53.76229167413781,-53.676959850494335,-53.89388447472069,-53.931451752270725,-54.05692731693594,-54.19945268474216,-54.267589614089594,-54.427050656134,-54.30542578936217,-54.27245054036872,-54.4083240295936,-54.3551861215707,-54.62763341501802,-54.66809072506444,-54.42299373959374,-54.31854377622378,-54.3040601779173,-54.21196470196468,-54.237427123191274,-54.25749283746558,-54.20209016999258
2000.0,-42.83360013351135,-44.49220930232556,-42.60970135180238,-41.31889503953989,-41.23442575285565,-38.992884386077996,-40.818850225588136,-40.59023582017403,-43.26637745729938,-46.255646909329364,-47.849657493942544,-51.93703712357215,-52.156443585386576,-52.4119497026338,-52.73699284843558,-52.76611622334053,-52.979866682642374,-53.04011403508774,-53.13077863818421,-53.27113953271026,-53.24511615487314,-53.4591618348274,-53.4042091341915,-53.2206158028887,-53.20822144973786
2250.0,-28.0419137945388,-29.69883295386784,-31.133185273060267,-30.63507150399457,-30.509489789412857,-28.67029917209227,-27.317183526243866,-27.35198283900008,-27.330156157061325,-28.08160696029118,-27.573802253302265,-27.59216170249503,-28.417377876668795,-28.60609785971604,-30.35282833688052,-31.878650070726998,-32.826160062160056,-33.68796779536252,-34.29196157176157,-36.248244335664346,-39.41116019694589,-43.948603253888955,-46.449021902625674,-47.82966976054251,-49.07956447211326
