,Height,2013/05/15 17:20:38,2013/05/15 17:21:38,2013/05/15 17:22:37,2013/05/15 17:23:37,2013/05/15 17:24:38,2013/05/15 17:25:38,2013/05/15 17:26:38,2013/05/15 17:27:38,2013/05/15 17:28:37,2013/05/15 17:29:37,2013/05/15 17:30:37,2013/05/15 17:31:38,2013/05/15 17:32:38,2013/05/15 17:33:38,2013/05/15 17:34:37,2013/05/15 17:35:37,2013/05/15 17:36:37,2013/05/15 17:56:38,2013/05/15 17:57:38,2013/05/15 17:58:38,2013/05/15 17:59:38,2013/05/15 18:00:38,2013/05/15 18:01:38,2013/05/15 18:02:38,2013/05/15 18:03:38,2013/05/15 18:04:38,2013/05/15 18:05:38,2013/05/15 18:06:38,2013/05/15 18:07:38,2013/05/15 18:08:38,2013/05/15 18:09:38,2013/05/15 18:10:38,2013/05/15 18:11:38,2013/05/15 18:12:38,2013/05/15 18:13:38,2013/05/15 18:14:38,2013/05/15 18:15:38,2013/05/15 18:16:38,2013/05/15 18:17:38,2013/05/15 18:18:38,2013/05/15 18:19:38,2013/05/15 18:20:38,2013/05/15 18:21:38,2013/05/15 19:10:38,2013/05/15 19:11:37,2013/05/15 19:12:38,2013/05/15 19:13:38,2013/05/15 19:14:38,2013/05/15 19:15:38,2013/05/15 19:16:37,2013/05/15 19:17:38,2013/05/15 19:18:38,2013/05/15 19:19:38,2013/05/15 19:20:38,2013/05/15 19:21:37,2013/05/15 19:22:38,2013/05/15 19:23:38,2013/05/15 19:24:38,2013/05/15 19:25:38,2013/05/15 19:26:38,2013/05/15 19:27:38,2013/05/15 19:28:38,2013/05/15 19:29:38,2013/05/15 19:30:38,2013/05/15 19:31:37,2013/05/15 19:32:37,2013/05/15 19:33:37,2013/05/15 19:34:37,2013/05/15 19:35:38
0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1500.0,0.0,0.0,0.001557,0.0,0.0,0.0,0.0,0.0,0.0,0.026823,0.0,0.0,0.0,0.006513,0.008081,0.0,0.0,0.0,0.011828,0.0,0.0,0.0,0.00452,0.007507,0.012935,0.0,0.011639,0.000161,0.0,0.002977,0.001839,0.004407,0.0,0.0,0.001157,0.002689,0.006474,0.000658,0.0,0.015041,0.0,0.00361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1750.0,0.017576,0.015789,0.024362,0.020536,0.020797,0.012597,0.023868,0.017052,0.010011,0.044191,0.015673,0.008834,0.012837,0.030631,0.02926,0.007783,0.011708,0.02105,0.036774,0.017208,0.025857,0.014537,0.027421,0.032271,0.027974,0.020751,0.036921,0.026202,0.020816,0.027261,0.029588,0.027572,0.02133,0.016387,0.024351,0.028686,0.026574,0.02554,0.021896,0.0269,0.023331,0.023995,0.017226,0.004191,0.004498,0.004665,0.0,0.0,0.012813,0.008221,0.003391,0.000948,0.005629,0.003513,0.008215,0.007247,0.010166,0.012359,0.006075,0.009848,0.016962,0.013657,0.008455,0.006739,0.003425,0.002452,0.009316,0.009439,0.006253
8,2000.0,0.030902,0.025081,0.029637,0.030946,0.042746,0.029782,0.034675,0.026491,0.02334,0.042587,0.023199,0.022307,0.027869,0.03685,0.032099,0.026371,0.023492,0.034078,0.044313,0.032718,0.042688,0.035399,0.033509,0.042691,0.028736,0.03573,0.049617,0.038594,0.036702,0.03672,0.04497,0.036381,0.031829,0.027106,0.033171,0.042588,0.036251,0.03903,0.040971,0.025078,0.033619,0.028492,0.032488,0.019122,0.026554,0.013641,0.009016,0.014355,0.029903,0.016736,0.025442,0.01973,0.019417,0.020736,0.01461,0.01833,0.015348,0.020946,0.023397,0.013363,0.018524,0.020951,0.017171,0.012266,0.013222,0.007739,0.022418,0.02082,0.020028
9,2250.0,0.035799,0.033016,0.031791,0.034224,0.041585,0.042612,0.034615,0.02716,0.03109,0.038613,0.027118,0.027943,0.031947,0.03406,0.030474,0.038651,0.035179,0.042367,0.037885,0.043148,0.048193,0.03926,0.036641,0.04616,0.033395,0.04056,0.04866,0.042331,0.032407,0.037389,0.046759,0.039914,0.038614,0.037564,0.034447,0.045994,0.043742,0.04093,0.04631,0.033116,0.036005,0.037621,0.035757,0.032211,0.035087,0.025447,0.018777,0.025801,0.036638,0.027222,0.035795,0.031777,0.02463,0.034373,0.020937,0.030218,0.021813,0.033292,0.028966,0.024459,0.02109,0.026643,0.025329,0.018,0.020229,0.021526,0.029919,0.029309,0.02748
10,2500.0,0.046626,0.043832,0.034162,0.04495,0.051772,0.054179,0.035985,0.03817,0.044879,0.02976,0.032468,0.040615,0.04088,0.037893,0.028874,0.050375,0.04418,0.048992,0.037509,0.054828,0.054416,0.05299,0.042961,0.051789,0.034217,0.048678,0.047773,0.049137,0.041272,0.041897,0.05201,0.045117,0.044846,0.047543,0.038725,0.050424,0.046917,0.046893,0.058346,0.033818,0.043693,0.046939,0.045804,0.044734,0.048864,0.034631,0.035052,0.040777,0.043151,0.030824,0.04716,0.04558,0.034968,0.044622,0.028549,0.039228,0.027576,0.041674,0.040815,0.022266,0.024534,0.035325,0.031004,0.024352,0.031317,0.03387,0.03725,0.035971,0.037389
